minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
47.25,-22.70806223970527,-22.558078299425745,-22.501262417327496,-22.538325894152536,-22.668804725770485,-22.594906715276306,0.20679982237777494,-6241.864745310407
47.5,-22.785889402235483,-22.637506247687043,-22.581296764702387,-22.61796466222725,-22.747050888413895,-22.67394159305321,0.20459263753309642,-6263.039293402694
47.75,-22.862885912215773,-22.716086458102808,-22.660476902063863,-22.696753442278975,-22.824461926329946,-22.75213292819827,0.2024090101519107,-6283.987844636096
48.0,-22.939060635231073,-22.793827978612683,-22.738811946431838,-22.774701306268526,-22.90104675284539,-22.829489723877902,0.20024868879923474,-6304.712811084767
48.25,-23.014422342244245,-22.87073976058727,-22.816310917519758,-22.851817229331317,-22.976814186154144,-22.906020887167347,0.1981114247244875,-6325.216579078692
48.5,-23.0889797106052,-22.94683065985899,-22.8929827387733,-22.92811009081032,-23.05177295033323,-22.981735230076207,0.195996971831903,-6345.501509478458
48.75,-23.162741325050433,-23.02210943774176,-22.96883623839784,-23.00358867527919,-23.12593167634671,-23.056641470563186,0.19390508665259176,-6365.569937947077
49.0,-23.235715678691662,-23.09658476203984,-23.04388015037489,-23.078261673553015,-23.19929890303993,-23.13074823353987,0.19183552831677275,-6385.42417521894
49.25,-23.30791117399329,-23.170265208045606,-23.118123115467966,-23.15213768368946,-23.2718830781225,-23.204064051863764,0.18978805852532332,-6405.066507365862
49.5,-23.379336123740103,-23.243159259526976,-23.191573682217353,-23.22522521197868,-23.343692559141147,-23.276597367320853,0.18776244152275012,-6424.499196060323
49.75,-23.449998751994542,-23.315275309704788,-23.264240307924183,-23.29753267392283,-23.414735614441838,-23.348356531597638,0.18575844407035902,-6443.72447883587
50.0,-23.519907195043203,-23.386621662218488,-23.3361313596248,-23.369068395204607,-23.48502042412204,-23.41934980724263,0.1837758354184018,-6462.744569344758
50.25,-23.58906950233404,-23.45720653208241,-23.407255115053403,-23.43984061264669,-23.55455508097242,-23.489585368617792,0.1818143872806388,-6481.561657612845
50.5,-23.657493637403235,-23.52703804663213,-23.47761976359601,-23.509857475159464,-23.62334759140893,-23.559071302839953,0.17987387380722453,-6500.177910291739
50.75,-23.72518747879178,-23.596124246459624,-23.54723340723274,-23.579127044679637,-23.691405876394413,-23.62781561071164,0.17795407155904286,-6518.59547090829
51.0,-23.79215882095295,-23.664473086339513,-23.616104061470963,-23.647657297098448,-23.758737772350912,-23.695826207642558,0.17605475948198546,-6536.816460111387
51.25,-23.858415375149377,-23.73209243614474,-23.684239656268204,-23.715456123180047,-23.82535103206189,-23.763110924560852,0.17417571888117322,-6554.842975916154
51.5,-23.9239647703416,-23.798990081752947,-23.75164803694534,-23.782531329470117,-23.891253325564605,-23.82967750881492,0.17231673339625786,-6572.677093945494
51.75,-23.988814554065755,-23.865173725942753,-23.8183369650896,-23.84889063919448,-23.956452241034015,-23.89553362506532,0.17047758897615495,-6590.320867669116
52.0,-24.052972193302963,-23.93065098928085,-23.884314119448703,-23.914541693148948,-24.020955285655646,-23.96068685616742,0.16865807385426024,-6607.776328639938
