method,scenario,j0,tau_b,tau_f,h,lambda0,Rc,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash
constant,10,0.16705993535496813,1.688908489008275,37.945477950908796,44.977097156808554,3.1333331659365413,8.415613806951482e-07,9e278e2e98a3e595,unresolved,horizon,,300.0,26.730722572437625,horizon,unresolved,1743.151953450226,81.00002736260915,65.43794530001469,6349,8.475792124597454e-13,1.839791989884675e-15,,0.5392414463678711,0.05090154735823533,18.059714430104833,,robust_constant_d4922ec155e0f2a1475f,True,9e278e2e98a3e595,904567fd11d251fb
constant,11,0.16635266362436188,1.6525891229568954,24.824557938641473,32.85741011900806,2.875236649085132,9.700451391027256e-07,cc157fcca1b83241,feasible,success,288.3504143758946,288.3504143758946,26.730722572437625,success,passed,1743.151953450226,77.50514485660707,62.15212260000408,6102,3.1119562171562132e-12,8.491612997647191e-16,,0.5375551414387582,0.06820680888726058,18.08468878373904,1743.1519534502263,robust_constant_a872f50e091fa0334b2b,True,cc157fcca1b83241,904567fd11d251fb
constant,12,0.164784961385525,1.8030805879723881,32.92638782168071,39.668987642216514,3.085746190568759,1.1665507881600286e-06,21119f4143946dae,feasible,success,294.7826496493236,294.7826496493236,26.730722572437625,success,passed,1743.151953450226,79.43480724992492,59.793221100000665,5963,2.3425568745445675e-12,1.132186209212867e-15,,0.5368715933572931,0.0569690105314705,18.065715822398943,1743.1519534502263,robust_constant_4f4223056e39451adb39,True,21119f4143946dae,904567fd11d251fb
constant,13,0.1710584185135547,2.0483789139593145,28.895789257636313,43.86019559122907,2.948994345701985,9.932873382000712e-07,0593bd1bb6ea1f6b,feasible,success,299.32314423498144,299.32314423498144,26.730722572437625,success,passed,1743.151953450226,80.79695216955366,62.04175309999846,6166,1.4363612933056206e-11,1.13220495530806e-15,,0.5375358578648569,0.06505586972720441,18.079636426677865,1743.1519534502263,robust_constant_e719f0e489ad401c4536,True,0593bd1bb6ea1f6b,904567fd11d251fb
constant,14,0.17883452182475904,1.6534167667391868,35.31838103275748,33.287868007528665,2.9804148203915184,8.38043135035008e-07,89b51413476d6461,feasible,success,291.6663610792495,291.6663610792495,26.730722572437625,success,passed,1743.1519534502258,78.4999186397135,62.92116530000931,6324,1.5293179224545655e-12,2.264401296198935e-15,,0.542350504456835,0.052755959730807316,18.069815559209644,1743.1519534502263,robust_constant_c024ff2227bf01c8b999,True,89b51413476d6461,904567fd11d251fb
constant,15,0.1569283534379266,1.6313337359211615,39.9871813361311,41.144458275383364,3.117977085641967,1.0344781997235006e-06,1c10d5f9d62b71e5,feasible,success,295.14490597040174,295.14490597040174,26.730722572437625,success,passed,1743.151953450226,79.54347388051042,60.86876179999672,6106,4.9117604715446525e-12,1.5567499627023713e-15,,0.5365787614853141,0.04752612687870239,18.063938080483894,1743.1519534502263,robust_constant_49b184e495a16a3f0564,True,1c10d5f9d62b71e5,904567fd11d251fb
constant,16,0.16365072943460238,1.6296040984398512,25.758103414590785,34.39013657624862,3.0894957609212756,1.190988176800591e-06,190d74312c095e6d,feasible,success,289.2205799914979,289.2205799914979,26.730722572437625,success,passed,1743.1519534502258,77.7661769298921,60.89222169999266,6075,2.1258480298888615e-12,1.4152321190329139e-15,,0.536272872665778,0.0669073880829945,18.063787600314782,1743.151953450226,robust_constant_4d55b55b641a163e57a1,True,190d74312c095e6d,904567fd11d251fb
constant,17,0.15718929957100033,1.2805361776336868,32.427722015271925,33.60009579048025,2.854556636758973,8.77445929704197e-07,84d3a5cf5d6f62dc,feasible,success,287.8772206667777,287.8772206667777,26.730722572437625,success,passed,1743.151953450226,77.36316921733885,54.33080399996834,5450,5.970227387060009e-13,1.5567996142830304e-15,,0.5387237868543704,0.052541139155763174,18.08774392236262,1743.1519534502263,robust_constant_9781c9b513cf2b44c331,True,84d3a5cf5d6f62dc,904567fd11d251fb
constant,18,0.16026184754841227,1.940166411660471,27.640301238923925,38.51474947459784,3.0064694006425605,1.196828073882104e-06,d1dc5bc115ecfee5,feasible,success,292.7602819517054,292.7602819517054,26.730722572437625,success,passed,1743.151953450226,78.82809796711487,62.16547690000152,6101,6.284361561288359e-12,1.4152463456098695e-15,,0.5344347556859546,0.06556284633234268,18.076111057433906,1743.1519534502263,robust_constant_0711ee60309b6884e3e9,True,d1dc5bc115ecfee5,904567fd11d251fb
constant,19,0.16094915435674584,1.2397563300287078,31.999917512788436,37.658959738490616,2.9227785173230245,1.0599625155481249e-06,c3d5efb1daae4e49,feasible,success,291.29663505512815,291.29663505512815,26.730722572437625,success,passed,1743.1519534502263,78.38900675160419,54.43623779999325,5525,5.751686735527131e-12,1.3444976520252798e-15,,0.5392846131190953,0.05342540134791241,18.07980505369582,1743.151953450226,robust_constant_596b1bbbcd5c2ca7ae5d,True,c3d5efb1daae4e49,904567fd11d251fb
