model,temp_C,run,time_s,phi_max,phi_layer,phi_x_um,saturation_max,saturation_layer,saturation_x_um,phi_cCL_max,phi_MEA_mean,saturation_at_phi_peak,gas_pore_min,occupied_pore_max,T_max_C,T_mean_C,V,ice_coverage_voltage_loss_mV,freeze_rate_kg_m2_s,melt_rate_kg_m2_s,produced_kg_m2,outward_kg_m2,bound_delta_kg_m2,mi_kg_m2,ml_kg_m2,mv_kg_m2,mb_kg_m2,active_fraction,lambda_cCL,mass_residual,activation_V,ohmic_V,cl_ohmic_V,concentration_V,reversible_V,phi_layer0_max,phi_layer1_max,phi_layer2_max,phi_layer3_max,phi_layer4_max
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,26.8,0.0001373294307183121,阴极催化层,173.87500000000017,0.00032643078373737123,阴极催化层,173.87500000000017,0.0001373294307183121,1.2206564552349273e-06,0.00032643078373737123,0.3916,0.018310636696454937,-20.319927000047244,-20.505528637703378,0.5929755635335614,0.01815621548362234,9.300875275317463e-07,0.0,0.0033729929081293577,0.001955674237950161,0.001386402370880847,3.6688538681123063e-07,3.0475040382479386e-05,7.43735290593012e-08,0.003291603370880847,0.7041768441329571,12.069488856030471,5.525755907904819e-14,0.5136179943345346,0.1523465418266269,0.09561422953898484,5.990849225742024e-05,1.2590000081869803,1.8277613464543396e-24,-5.740014672436728e-23,0.0,0.0001373294307183121,2.121994528413961e-22
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,27.0,0.00019000253298666336,阴极催化层,173.87500000000017,0.0004516342595356866,阴极催化层,173.87500000000017,0.00019000253298666336,1.942636950195936e-06,0.0004516342595356866,0.3916,0.020565204929904726,-20.240330214042643,-20.43352126553947,0.589423387997804,0.02845596915834747,1.2516121164949649e-06,0.0,0.003425388779092951,0.001980420868268931,0.0014031368697385196,5.838867322986911e-07,4.117106317760329e-05,7.609117559849356e-08,0.0033083378697385197,0.7098130741614387,12.19250952293127,5.525755907904819e-14,0.5139163152654312,0.15552830307341842,0.0976712451020974,6.124320904352854e-05,1.2589292495456972,1.8182709685529835e-24,-5.748945314726875e-23,0.0,0.00019000253298666336,3.1706523470604107e-07
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,27.2,0.0002475607485534153,阴极催化层,173.87500000000017,0.0005884496043580111,阴极催化层,173.87500000000017,0.0002475607485534153,2.889632623883323e-06,0.0005884496043580111,0.3916,0.022246045129241988,-20.162566223589323,-20.36056116668874,0.5869109437273715,0.040530096500290824,1.5907049921377006e-06,0.0,0.0034787696474263417,0.0020053443651899725,0.001419954639474095,8.68519539964867e-07,5.252558626566404e-05,7.653695664525262e-08,0.003325155639474095,0.7161207091086437,12.318224159918712,5.525755907904819e-14,0.5139649199480423,0.15792203391786047,0.09919518473336529,6.228068844508614e-05,1.2588601782817193,1.8180834361453134e-24,-5.75435429400299e-23,0.0,0.0002475607485534153,2.9954231295011594e-06
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,27.400000000000002,0.0003079404644279352,阴极催化层,173.87500000000017,0.0007319716292558479,阴极催化层,173.87500000000017,0.0003079404644279352,4.062442399533558e-06,0.0007319716292558479,0.3916,0.02309766001572694,-20.09156226795514,-20.292271823091824,0.5863221822523441,0.053435135515478294,1.947381488132772e-06,0.0,0.003532766647973091,0.0020303834857080304,0.0014365587186537985,1.2210239373734043e-06,6.452648806497336e-05,7.693160891559759e-08,0.0033417597186537985,0.7225036973390246,12.440028073104727,5.525755907904819e-14,0.5136308765390679,0.15878161004954872,0.09972303650744505,6.273573881401443e-05,1.2587974045797747,1.818158310680529e-24,-5.747675749441399e-23,0.0,0.0003079404644279352,9.770024696859442e-06
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,27.6,0.00036980000202215256,阴极催化层,173.87500000000017,0.0008790111766630676,阴极催化层,173.87500000000017,0.00036980000202215256,5.500410694309766e-06,0.0008790111766630676,0.3916,0.023930203745531044,-20.010050956108927,-20.215786418946095,0.5827640244515446,0.06725400699547635,2.388585287211404e-06,0.0,0.003587502215034589,0.002055546509455218,0.0014507590505068225,1.6532254399245205e-06,7.946603531041198e-05,7.739432221169637e-08,0.0033559600505068225,0.7262734870341248,12.544418885878681,5.525755907904819e-14,0.5140045862740855,0.1618921537989673,0.10171009306020527,6.406592471879903e-05,1.2587248304493162,1.8195005594966522e-24,-5.76321962315764e-23,0.0,0.00036980000202215256,2.1644046736398434e-05
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,27.8,0.00043353411709518545,阴极催化层,173.87500000000017,0.001030506577359604,阴极催化层,173.87500000000017,0.00043353411709518545,7.254731423934562e-06,0.001030506577359604,0.3916,0.024929328380326566,-19.925270432174244,-20.13675126812285,0.5793110509587621,0.08218422628936128,2.889693123185691e-06,0.0,0.0036433152454149677,0.0020808491320620627,0.0014636625442716648,2.1805110957034675e-06,9.654516768886208e-05,7.789029667459126e-08,0.0033688635442716648,0.7291412816007955,12.643060473053515,5.525755907904819e-14,0.5143571561542626,0.16491592920568565,0.10366479973838504,6.532813117476146e-05,1.2586494644498851,1.891048161945248e-24,-5.773501479139095e-23,0.0,0.00043353411709518545,3.944708879857182e-05
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,28.0,0.0004991876065332914,阴极催化层,173.87500000000017,0.0011865643131288124,阴极催化层,173.87500000000017,0.0004991876065332914,9.349395483198248e-06,0.0011865643131288124,0.3916,0.02582036783217571,-19.841726691268832,-20.058224224395673,0.5766030284467469,0.09795533277889845,3.407645684070034e-06,0.0,0.00370008220780889,0.002106298146410588,0.0014765677780574,2.810091704011998e-06,0.00011432777442247251,7.841721441742043e-08,0.0033817687780574,0.7324380298791546,12.743286170024264,5.525755907904819e-14,0.5145337861628937,0.16737208491077185,0.10524169240173668,6.637120645381316e-05,1.2585752707268663,1.880892934766965e-24,-5.782354080969128e-23,0.0,0.0004991876065332914,6.4209522170884e-05
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,28.2,0.0005662734227952,阴极催化层,173.87500000000017,0.001346026676480152,阴极催化层,173.87500000000017,0.0005662734227952,1.179161198409439e-05,0.001346026676480152,0.3916,0.026503422340616794,-19.770701362734656,-19.9887358557975,0.5771996321497634,0.11422159153129385,3.933403813493763e-06,0.0,0.0037572813184619525,0.002131905641839815,0.00148931690775901,3.5441340643873456e-06,0.0001324356854992525,7.894929948758214e-08,0.00339451790775901,0.7359054709915618,12.839005415548836,5.525755907904819e-14,0.5140826152248791,0.16716398500079144,0.10508986933122591,6.63963237061605e-05,1.2585126286991402,1.8811831830685066e-24,-5.78302321607984e-23,0.0,0.0005662734227952,9.68454095823326e-05
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,28.400000000000002,0.0006343251773076587,阴极催化层,173.87500000000017,0.001507785066098547,阴极催化层,173.87500000000017,0.0006343251773076587,1.4589945482826768e-05,0.001507785066098547,0.3916,0.027055147143163656,-19.702642128755002,-19.92139648993438,0.5778735050929864,0.1309241135785122,4.484902077685975e-06,0.0,0.0038144796729269,0.002157705530739499,0.001500790569184487,4.385212374100344e-06,0.0001515187531599179,7.960746889574041e-08,0.003405991569184487,0.7387369818289101,12.919478983045073,5.525755907904819e-14,0.5136806077820388,0.16683205596503461,0.10484334652541288,6.642291757833514e-05,1.2584525917576381,1.880342304383762e-24,-5.783089158121633e-23,0.0,0.0006343251773076587,0.00013788532103092645
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,28.6,0.0007032079662920196,阴极催化层,173.87500000000017,0.0016715188169527443,阴极催化层,173.87500000000017,0.0007032079662920196,1.7768498422194444e-05,0.0016715188169527443,0.3916,0.027644363226633713,-19.636944337570043,-19.856219131790994,0.579006942301107,0.14827094506864036,5.073068646722897e-06,0.0,0.0038716168683545537,0.002183768047304422,0.0015104724049843123,5.340570959768451e-06,0.0001719553649280893,8.048017796158054e-08,0.0034156734049843123,0.740717941690818,12.98261513643065,5.525755907904819e-14,0.513243400129558,0.16607804783438718,0.10433313087846906,6.630871404722752e-05,1.2583946989790995,1.8662805151466932e-24,-5.803162949136758e-23,0.0,0.0007032079662920196,0.00018752216117939635
改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,28.8,0.000773095751093456,阴极催化层,173.87500000000017,0.001837641433547554,阴极催化层,173.87500000000017,0.000773095751093456,2.1344865706381826e-05,0.001837641433547554,0.3916,0.02831129891185432,-19.56960070036385,-19.79036430621639,0.5794936395240333,0.16639016161190678,5.677066577979362e-06,0.0,0.003928722451475823,0.002210195011405497,0.0015189452994284415,6.4154982161729465e-06,0.00019308494323908143,8.16991866298652e-08,0.0034241462994284416,0.7422445460266429,13.033832430963537,5.525755907904819e-14,0.5129683460915978,0.16580676828435847,0.10412972868005607,6.641475134154477e-05,1.258335168651331,1.866464667640138e-24,-5.805547065550058e-23,0.0,0.000773095751093456,0.00024584195150482025
