temp_C,time_s,x_um,layer,phi,saturation,liquid_bulk,gas_pore,T_C
-20,19.0,161.27499999999986,质子交换膜,0.0,0.0,0.0,0.0,-17.464138315922526
-20,19.0,162.02499999999986,质子交换膜,0.0,0.0,0.0,0.0,-17.46432053900878
-20,19.0,162.77499999999986,质子交换膜,0.0,0.0,0.0,0.0,-17.464514386093583
-20,19.0,163.52499999999984,质子交换膜,0.0,0.0,0.0,0.0,-17.46471985018846
-20,19.0,164.27499999999984,质子交换膜,0.0,0.0,0.0,0.0,-17.46493692399841
-20,19.0,165.02499999999984,质子交换膜,0.0,0.0,0.0,0.0,-17.46516559990542
-20,19.0,165.68249999999983,阴极催化层,4.21397155100002e-22,1.001657131209893e-21,0.0,0.4207,-17.46542373486949
-20,19.0,166.24749999999983,阴极催化层,8.424201780006814e-23,2.0024249536503004e-22,0.0,0.4207,-17.465832878781384
-20,19.0,166.81249999999983,阴极催化层,1.8278012722203105e-22,4.344666679867627e-22,0.0,0.4207,-17.46635058092565
-20,19.0,167.37749999999983,阴极催化层,-4.902134757298524e-22,-1.1652328874015983e-21,0.0,0.4207,-17.46695392856239
-20,19.0,167.94249999999985,阴极催化层,1.3575503589522322e-22,3.2268846183794443e-22,0.0,0.4207,-17.467621512876008
-20,19.0,168.50749999999985,阴极催化层,-2.1243119164006784e-21,-5.049469732352456e-21,0.0,0.4207,-17.468333295125547
-20,19.0,169.07249999999985,阴极催化层,-9.458927356367306e-22,-2.2483782639332793e-21,0.0,0.4207,-17.469070499328325
-20,19.0,169.63749999999987,阴极催化层,1.058797961309798e-22,2.516752938696929e-22,0.0,0.4207,-17.46981552365284
-20,19.0,170.20249999999987,阴极催化层,2.343600781384279e-22,5.570717331552838e-22,0.0,0.4207,-17.470551864029062
-20,19.0,170.76749999999987,阴极催化层,1.1171935071659654e-22,2.6555586098549213e-22,0.0,0.4207,-17.471264043991113
-20,19.0,171.33249999999987,阴极催化层,5.833818875694444e-22,1.3866933386485487e-21,0.0,0.4207,-17.47193754558154
-20,19.0,171.8974999999999,阴极催化层,6.2651397335930405e-21,1.4892179067252294e-20,0.0,0.4207,-17.472558736960764
-20,19.0,172.4624999999999,阴极催化层,-2.1713195995919066e-21,-5.1612065595243794e-21,0.0,0.4207,-17.473114793248186
-20,19.0,173.0274999999999,阴极催化层,1.3483535013424186e-21,3.205023773098214e-21,0.0,0.4207,-17.473593608053392
-20,19.0,173.5924999999999,阴极催化层,1.5228933033261526e-23,3.6199032643835333e-23,0.0,0.4207,-17.47398369405093
-20,19.0,174.1574999999999,阴极催化层,1.0876063711714755e-21,2.585230261876576e-21,0.0,0.4207,-17.474274071848413
-20,19.0,174.7224999999999,阴极催化层,4.958073671627758e-22,1.1785295154808077e-21,0.0,0.4207,-17.474454147087556
-20,19.0,175.2874999999999,阴极催化层,-1.9186051048425236e-21,-4.56050654823514e-21,0.0,0.4207,-17.47451357635009
-20,19.0,175.85249999999994,阴极催化层,-4.011550220857062e-22,-9.535417686848257e-22,0.0,0.4207,-17.474442123201754
-20,19.0,176.41749999999993,阴极催化层,4.860498918074573e-23,1.1553360870155866e-22,0.0,0.4207,-17.47422950628095
-20,19.0,179.8249999999999,阴极气体扩散层,1.798123389276188e-20,2.247654236595235e-20,0.0,0.8,-17.47003256842399
-20,19.0,186.0749999999999,阴极气体扩散层,-6.661487075937261e-22,-8.326858844921576e-22,0.0,0.8,-17.46474772997084
-20,19.0,192.3249999999999,阴极气体扩散层,1.7324817016600027e-21,2.1656021270750034e-21,0.0,0.8,-17.46220763713825
-20,19.0,198.57499999999987,阴极气体扩散层,-1.0104645471284882e-21,-1.2630806839106102e-21,0.0,0.8,-17.462412324105912
-20,19.0,204.82499999999987,阴极气体扩散层,-5.497188356650189e-22,-6.871485445812736e-22,0.0,0.8,-17.46536182769961
-20,19.0,211.07499999999985,阴极气体扩散层,8.503870040608438e-22,1.0629837550760546e-21,0.0,0.8,-17.47105618739218
-20,19.0,217.32499999999985,阴极气体扩散层,-3.7156715862483723e-22,-4.644589482810465e-22,0.0,0.8,-17.479495445304337
-20,19.0,223.57499999999985,阴极气体扩散层,1.9746669914622415e-24,2.4683337393278018e-24,0.0,0.8,-17.490679646204995
-20,19.0,229.82499999999982,阴极气体扩散层,-2.6979444511946177e-21,-3.372430563993272e-21,0.0,0.8,-17.50460883751211
-20,19.0,236.07499999999982,阴极气体扩散层,1.2236392161292408e-21,1.529549020161551e-21,0.0,0.8,-17.521283069292792
-20,19.0,242.32499999999982,阴极气体扩散层,-1.1274647840446045e-20,-1.4093309800557556e-20,0.0,0.8,-17.54070239426389
-20,19.0,248.57499999999985,阴极气体扩散层,-1.7983210075795366e-20,-2.2479012594744207e-20,0.0,0.8,-17.56286686779214
-20,19.0,254.82499999999987,阴极气体扩散层,1.2027847063869002e-20,1.503480882983625e-20,0.0,0.8,-17.587776547893924
-20,19.0,261.0749999999999,阴极气体扩散层,-2.5182698452276043e-20,-3.147837306534505e-20,0.0,0.8,-17.615431495235697
-20,19.0,267.3249999999999,阴极气体扩散层,8.729218470528773e-22,1.0911523088160967e-21,0.0,0.8,-17.645831773133523
-20,19.0,273.57499999999993,阴极气体扩散层,-9.81201883923471e-23,-1.2265023549043387e-22,0.0,0.8,-17.678977447552967
-20,19.0,279.82499999999993,阴极气体扩散层,-2.7249564510592206e-22,-3.4061955638240258e-22,0.0,0.8,-17.714868587108498
-20,19.0,286.07499999999993,阴极气体扩散层,2.9295693916299467e-22,3.661961739537433e-22,0.0,0.8,-17.753505263063374
-20,19.0,292.325,阴极气体扩散层,-4.417548095458649e-23,-5.52193511932331e-23,0.0,0.8,-17.79488754932862
-20,19.0,298.575,阴极气体扩散层,3.77264006259797e-24,4.715800078247462e-24,0.0,0.8,-17.83901552246246
-20,19.0,304.825,阴极气体扩散层,-9.480476646853027e-25,-1.1850595808566283e-24,0.0,0.8,-17.88588926166952
-20,19.0,311.075,阴极气体扩散层,1.0531005118779088e-22,1.316375639847386e-22,0.0,0.8,-17.9355088487998
-20,19.0,317.32500000000005,阴极气体扩散层,4.953535863844347e-25,6.191919829805434e-25,0.0,0.8,-17.987874368347462
-20,19.0,323.57500000000005,阴极气体扩散层,-1.7465481605061965e-26,-2.1831852006327454e-26,0.0,0.8,-18.042985907449776
-20,19.2,3.1249999999999996,阳极气体扩散层,4.145880858609957e-25,5.182351073262446e-25,0.0,0.8,-17.676366029537718
-20,19.2,9.375,阳极气体扩散层,2.4429032138400453e-23,3.0536290173000566e-23,0.0,0.8,-17.652881413092302
-20,19.2,15.625,阳极气体扩散层,-4.711627962741009e-23,-5.889534953426261e-23,0.0,0.8,-17.6305134892298
-20,19.2,21.874999999999996,阳极气体扩散层,-8.021834909198767e-23,-1.0027293636498459e-22,0.0,0.8,-17.609262268645892
-20,19.2,28.125,阳极气体扩散层,-5.540943230642521e-23,-6.92617903830315e-23,0.0,0.8,-17.589127761801933
-20,19.2,34.375,阳极气体扩散层,-7.185018093461705e-23,-8.98127261682713e-23,0.0,0.8,-17.570109978925103
-20,19.2,40.62500000000001,阳极气体扩散层,-3.040475093357868e-23,-3.8005938666973343e-23,0.0,0.8,-17.55220893000839
-20,19.2,46.87500000000001,阳极气体扩散层,-8.846332999148276e-23,-1.1057916248935343e-22,0.0,0.8,-17.535424624810958
-20,19.2,53.12500000000001,阳极气体扩散层,-6.652400669786538e-24,-8.315500837233171e-24,0.0,0.8,-17.519757072858198
-20,19.2,59.375000000000014,阳极气体扩散层,-1.1653758838488115e-23,-1.4567198548110144e-23,0.0,0.8,-17.505206283441737
-20,19.2,65.62500000000003,阳极气体扩散层,-6.148130357732554e-23,-7.685162947165692e-23,0.0,0.8,-17.491772265619716
-20,19.2,71.87500000000003,阳极气体扩散层,-2.0224848004642078e-22,-2.5281060005802593e-22,0.0,0.8,-17.47945502821662
-20,19.2,78.12500000000003,阳极气体扩散层,1.451365473059186e-22,1.8142068413239824e-22,0.0,0.8,-17.46825457982348
-20,19.2,84.37500000000003,阳极气体扩散层,-3.29667093060001e-22,-4.1208386632500127e-22,0.0,0.8,-17.458170928797728
-20,19.2,90.62500000000003,阳极气体扩散层,-4.111950846752775e-23,-5.1399385584409686e-23,0.0,0.8,-17.449204083263282
-20,19.2,96.87500000000004,阳极气体扩散层,5.199821239995354e-23,6.499776549994192e-23,0.0,0.8,-17.441354051110523
-20,19.2,103.12500000000004,阳极气体扩散层,9.530721576332596e-23,1.1913401970415744e-22,0.0,0.8,-17.434620839996057
