temp_C,time_s,current_A_cm2,V,reversible,activation,ohmic,cl_ohmic,concentration,active_fraction,cathode_lambda_mean,membrane_lambda_mean
-20,28.400000000000002,0.3,0.5696731308112597,1.254378053963264,0.5116365916840545,0.1730033878986343,0.1091293909963212,6.494356931560606e-05,0.5291280622976622,9.767773709577744,3.1103816652182315
-20,28.6,0.299,0.572782237904995,1.2543265662205765,0.5098800665284272,0.17159953389347182,0.10812877562539125,6.472789368240863e-05,0.5461766734072271,9.915765707859117,3.1167869029626236
-20,28.8,0.3,0.5744445687737202,1.2542711926687784,0.5084989468072467,0.17126272582329521,0.10781379001857991,6.495126451625927e-05,0.5625904113982397,10.056356080022244,3.124576695727817
-20,29.0,0.299,0.5775156839247965,1.254220288414831,0.506922546261125,0.16971732273160595,0.10673971888702821,6.473549730362685e-05,0.5783818020060107,10.190016101482398,3.1335930224745305
-20,29.2,0.299,0.5797922597187705,1.2541684176253107,0.5056416592956647,0.16866975933275935,0.10598594784526809,6.473927811627054e-05,0.5926048376693814,10.315965281414845,3.1438888257109765
-20,29.400000000000002,0.3,0.5811355702429634,1.2541138873292565,0.5047438509517028,0.1681695034922865,0.10559573719844262,6.496264230380303e-05,0.6038431315651079,10.437250724647507,3.1551055439265734
-20,29.6,0.299,0.583799334911088,1.2540640539576369,0.5036959595588377,0.16650401269078613,0.10447167462992184,6.474679692491196e-05,0.6135023502976467,10.552971628809173,3.167204074743532
-20,29.8,0.299,0.5857191243365412,1.254013312655724,0.5028814850848133,0.1653479528111388,0.1036717959347891,6.475042323078106e-05,0.6220828916379786,10.662202845197925,3.1802757636251746
-20,30.0,0.299,0.5875646682443151,1.253962507400998,0.5021559192401683,0.16417716582125896,0.10287269708368108,6.475409525549567e-05,0.6295170686161101,10.76664361785676,3.194098595380266
-20,30.2,0.299,0.589386941329289,1.2539120914904442,0.5014681534192326,0.162992238995455,0.10207132128546245,6.475774646761967e-05,0.6365180676276384,10.866625307283622,3.208576116914193
-20,30.400000000000002,0.299,0.5911756781999122,1.2538620823741735,0.5008254635613009,0.16179617923619755,0.101268288650387,6.476137676277105e-05,0.6429660284342328,10.962442470567616,3.223631228111119
-20,30.6,0.299,0.5929141371344564,1.253812436905205,0.5002408676978026,0.160592667089616,0.10046522810599189,6.476498333010611e-05,0.6486510807003388,11.05437372740202,3.239193569932335
-20,30.8,0.299,0.5946407475848475,1.253763192219177,0.49967215121274905,0.15938552485107635,0.09966407623181517,6.476857050402191e-05,0.6541737630568433,11.142668635175388,3.2552010350641605
-20,31.0,0.299,0.5963530838474367,1.2537143371595492,0.4991184308367935,0.15817805033788618,0.09886651352075039,6.477213743268636e-05,0.6595416450718906,11.227555390530457,3.2715972826822632
-20,31.2,0.299,0.5980127704028478,1.2536658007326793,0.49861489692827793,0.15697335766639048,0.09807425352840946,6.477573516294075e-05,0.6642221587661636,11.309256806553948,3.2883295720252494
-20,31.400000000000002,0.3,0.5989624976771523,1.253615203360719,0.49827254705177804,0.1563151596600471,0.09763372596323758,6.499897174176205e-05,0.6686332421352373,11.38925008143471,3.305227471469165
-20,31.6,0.299,0.6012349405244279,1.253569166094333,0.49765818447092214,0.15461125830112993,0.09653315133555523,6.4782797853075e-05,0.6729407565134701,11.466375843333706,3.3223327771172135
-20,31.8,0.3,0.6021669082729263,1.2535197125375384,0.49733784695527894,0.15394995128103078,0.09609117096783439,6.500602830234007e-05,0.6771421859845785,11.54076542297509,3.3396846476247037
