t_s,observed_K_s,model_K_s
25.8,0.2864583483704791,0.33396959490550027
26.0,0.29376926965784184,0.34266585456065274
26.2,0.3012915237243114,0.352396951996288
26.4,0.30895635494840645,0.3607435392312227
26.6,0.3165236625080304,0.36769439766742495
26.8,0.3239309214771802,0.37450597910539973
27.0,0.33117264531476387,0.38066187477936303
27.2,0.338018107416587,0.3840327610704976
27.4,0.34412173890542624,0.3844228008928265
27.6,0.34915285257298667,0.381199573003998
27.8,0.35292180707847237,0.3760604534343106
28.0,0.3554889051196899,0.37027161132135394
28.2,0.3569767034911918,0.3640438417558154
28.4,0.3575128504345148,0.3573640479543977
28.6,0.3570311631825782,0.3484908531441619
28.8,0.35565227513286485,0.34121801873840935
29.0,0.3537730998975558,0.3359529286804289
29.2,0.3517451274569034,0.3335645969479897
29.4,0.3497781961294852,0.33212620976995866
29.6,0.34785026574706385,0.3307844360937968
29.8,0.3459141629334699,0.3294111727955206
30.0,0.3439622289659532,0.3283021737137972
30.2,0.34203860683900467,0.32765533101392247
30.4,0.3401696271573377,0.32718330125797457
30.6,0.33839429798071735,0.3268421820535542
30.8,0.3366251494090287,0.32506668254383636
31.0,0.3348276275700396,0.32352985958368646
31.2,0.3330423616250398,0.32158006394474165
31.4,0.3312717289498472,0.3200941785679608
31.6,0.329569650107944,0.31883927064726925
31.8,0.32789476272948737,0.31712338428431935
32.0,0.3262154358537434,0.31529962272629586
32.2,0.32363299006281726,0.31239635285489015
32.3999999999999,0.32281081104215564,0.31168714596951796
32.6,0.3211631763875843,0.3103752717260288
32.7999999999999,0.3196080325270961,0.3095051201860762
33.0,0.3181164267631272,0.3080647271387289
33.1999999999999,0.3166450240088692,0.3066334395246266
33.3999999999999,0.3151745849903549,0.3047742688273687
33.5999999999999,0.313688724577216,0.303052596465516
33.7999999999999,0.3122163513977676,0.3014889490548796
33.9999999999999,0.31078320146080096,0.30018975600033887
34.1999999999999,0.30941989790597857,0.2990187625453291
34.3999999999999,0.308100157959417,0.29766853901399515
34.5999999999999,0.3067744542919477,0.29591968112695777
34.7999999999999,0.30542900940841533,0.2941460301527873
34.9999999999999,0.304085328928749,0.29260961206039504
35.1999999999999,0.30275252086972804,0.2910020053445119
35.3999999999999,0.30150536527649907,0.2903617061647102
35.5999999999999,0.3002850261143145,0.2881605585744394
35.7999999999999,0.2996516395065625,0.2870988714053605
35.9999999999999,0.29896579827688585,0.28576939447688676
36.1999999999999,0.2982434089121513,0.28485765875999897
36.3999999999999,0.2975549880811237,0.28446240343625395
36.5999999999999,0.29698543160582386,0.2848232067221034
