search,selection,reason,run,cell,t_s,T_C,V,activation_V,ohmic_V,concentration_V,lambda_mean,conductivity_min_S_m,membrane_D_min_m2_s,ice_bulk_max
q2_constant_search,longest_valid_time_per_stop_reason,charge,q2_constant_5074bf288854b8292a10,1,295.60336763330145,-4.895100978927928,0.6789916229289771,0.5222556447760844,0.0442238672260601,1.4632926933495095e-05,1.2638915709212937,0.17242818158255638,7.668570739256607e-11,1.3608241810932603e-22
q2_constant_search,longest_valid_time_per_stop_reason,charge,q2_constant_5074bf288854b8292a10,2,295.60336763330145,-3.603264953843791,0.6777568426344335,0.5178692228844533,0.04864768026352787,1.4648364303468142e-05,1.1923249183058406,0.1562423052972752,8.102923858767799e-11,4.559962751507005e-21
q2_constant_search,longest_valid_time_per_stop_reason,charge,q2_constant_5074bf288854b8292a10,3,295.60336763330145,-3.139518545692681,0.6770637809414128,0.5161593321777165,0.050585072223749354,1.4652652926742629e-05,1.1656311529110366,0.15005305943407168,8.278688437486483e-11,3.420343285010559e-21
q2_constant_search,longest_valid_time_per_stop_reason,charge,q2_constant_5074bf288854b8292a10,4,295.60336763330145,-3.5041363829963075,0.6775905729609409,0.5171264667952672,0.04935754724119402,1.4645815339630084e-05,1.1816638293592663,0.1539439089294853,8.18337905733037e-11,2.326328899897859e-21
q2_constant_search,longest_valid_time_per_stop_reason,charge,q2_constant_5074bf288854b8292a10,5,295.60336763330145,-4.699180542370527,0.6788985826838929,0.5207767284248658,0.04539931699078386,1.4627770977546185e-05,1.2416843765842602,0.16788426690175126,7.823185153679648e-11,1.7325676968149917e-20
q2_ramp_search,longest_valid_time_per_stop_reason,charge,q2_ramp_8202bf7a707ac13cc52e,1,253.76905282670185,-4.694137863502533,0.6730739495303123,0.5287776938962295,0.04345508738713418,1.7076477946340227e-05,1.3812914180201379,0.20523022595883925,7.596620909758641e-11,1.2460947214444075e-21
q2_ramp_search,longest_valid_time_per_stop_reason,charge,q2_ramp_8202bf7a707ac13cc52e,2,253.76905282670185,-3.1867935768412963,0.6726243290381534,0.5237018197150671,0.04758351925305965,1.7097433812795625e-05,1.2965859618091788,0.18697388226191464,8.101359708915336e-11,5.099413862362284e-22
q2_ramp_search,longest_valid_time_per_stop_reason,charge,q2_ramp_8202bf7a707ac13cc52e,3,253.76905282670185,-2.6441764450873393,0.6722379509816524,0.5217187902276695,0.049408519935150295,1.7103277149805122e-05,1.2647223655238198,0.1798818289660287,8.30734304738185e-11,2.7189673337394973e-21
q2_ramp_search,longest_valid_time_per_stop_reason,charge,q2_ramp_8202bf7a707ac13cc52e,4,253.76905282670185,-3.0659925679591424,0.67259395924787,0.5228268255724164,0.04825223592054863,1.7094050553902592e-05,1.2837004308008566,0.18435215097906021,8.196822548553451e-11,1.1234648090865624e-21
q2_ramp_search,longest_valid_time_per_stop_reason,charge,q2_ramp_8202bf7a707ac13cc52e,5,253.76905282670185,-4.455522586399354,0.6732552202504498,0.5270354185694862,0.044544939370491504,1.7069616920896328e-05,1.3547058499849496,0.2001819542729813,7.778578099459084e-11,2.272824633997425e-21
q2_ramp_search,longest_valid_time_per_stop_reason,horizon,q2_ramp_dde061be1682f9f90abb,1,300.0,-6.874342735741209,0.6891624250845639,0.5090149069112346,0.04901389910509694,9.538120277098781e-06,1.01664511859964,0.10012009195374766,7.41989026947747e-11,6.436751775995835e-23
q2_ramp_search,longest_valid_time_per_stop_reason,horizon,q2_ramp_dde061be1682f9f90abb,2,300.0,-6.04454725523351,0.6861796205047788,0.506133860225822,0.05410873747824662,9.544668204956851e-06,0.9751408668468045,0.09020641931525053,7.686404034201413e-11,5.864356973321031e-23
q2_ramp_search,longest_valid_time_per_stop_reason,horizon,q2_ramp_dde061be1682f9f90abb,3,300.0,-5.745081709775377,0.6847659478625217,0.505005617797278,0.056350267052373774,9.546506608603908e-06,0.9595216788998542,0.08641741554965511,7.793638766683997e-11,3.741592196629271e-21
q2_ramp_search,longest_valid_time_per_stop_reason,horizon,q2_ramp_dde061be1682f9f90abb,4,300.0,-5.976784121887874,0.6856614439253075,0.5056329285799882,0.05499643370504833,9.543636350247578e-06,0.9685926521553577,0.08867571893724804,7.736830500722861e-11,1.3455206633733511e-20
q2_ramp_search,longest_valid_time_per_stop_reason,horizon,q2_ramp_dde061be1682f9f90abb,5,300.0,-6.740757933110331,0.688410330980746,0.5080192969573056,0.05050045128953954,9.536033784516295e-06,1.0030579871356893,0.09703750531440707,7.518057644106452e-11,8.372131056984128e-21
q2_step_search,longest_valid_time_per_stop_reason,charge,q2_step_7880cfbfe4f30cf9caa5,1,264.3895048180659,-4.689082268213156,0.6718879738085365,0.5300161002573059,0.043400552776813886,1.7543634801389963e-05,1.4030156468687713,0.21115595030886922,7.575168522438827e-11,1.0964928799626213e-21
q2_step_search,longest_valid_time_per_stop_reason,charge,q2_step_7880cfbfe4f30cf9caa5,2,264.3895048180659,-3.142351734257545,0.6715948976125194,0.5248151494128043,0.04746101582731089,1.7565715689312527e-05,1.3162199080108494,0.19265991730638662,8.091895882213461e-11,1.0853169723018043e-19
q2_step_search,longest_valid_time_per_stop_reason,charge,q2_step_7880cfbfe4f30cf9caa5,3,264.3895048180659,-2.585179202997381,0.6712701467124027,0.5227822924194878,0.0492597251643045,1.757188006807381e-05,1.2834942096155995,0.18544601443631725,8.303135423812143e-11,7.902541122268743e-20
q2_step_search,longest_valid_time_per_stop_reason,charge,q2_step_7880cfbfe4f30cf9caa5,4,264.3895048180659,-3.0167041131882115,0.671591526135963,0.5239136423168714,0.04812169330884905,1.756218002401004e-05,1.3029225923148535,0.18998963072836164,8.190221593901401e-11,3.683701262384724e-21
q2_step_search,longest_valid_time_per_stop_reason,charge,q2_step_7880cfbfe4f30cf9caa5,5,264.3895048180659,-4.440807380663671,0.6721240455964013,0.528220304644886,0.04447388843460568,1.7536458030958376e-05,1.3756433533663592,0.20604602614521522,7.76235780290323e-11,3.624183422327379e-21
q2_step_search,longest_valid_time_per_stop_reason,voltage,q2_step_affbaa02d0f791897cdf,1,69.28824784347651,-9.313291892805978,0.3056186468984786,0.6146207944603728,0.32901079994272264,8.201852317734738e-05,1.144443723686873,0.1293686260858436,6.719005918567163e-11,4.944922127579602e-22
q2_step_search,longest_valid_time_per_stop_reason,voltage,q2_step_affbaa02d0f791897cdf,2,69.28824784347651,-8.78584388274885,0.29639958044920345,0.6129851747179971,0.33937387522678386,8.205320617473577e-05,1.1236605483952884,0.12530978388064284,6.870065525782805e-11,3.61524014729555e-21
q2_step_search,longest_valid_time_per_stop_reason,voltage,q2_step_affbaa02d0f791897cdf,3,69.28824784347651,-8.60714018728703,0.2932946580642142,0.6123920763765675,0.3428940093194075,8.206265858192958e-05,1.1167611531427288,0.12399317374512038,6.925570377743468e-11,1.551120994459621e-20
q2_step_search,longest_valid_time_per_stop_reason,voltage,q2_step_affbaa02d0f791897cdf,4,69.28824784347651,-8.72702857202097,0.29487475005076097,0.6126742557061811,0.34111742545031,8.204952006944886e-05,1.1200869195535736,0.12465925943236532,6.900707959195856e-11,2.0627231755766413e-21
q2_step_search,longest_valid_time_per_stop_reason,voltage,q2_step_affbaa02d0f791897cdf,5,69.28824784347651,-9.181696694158461,0.30191856979535714,0.6139179758118564,0.3332053271600758,8.200984731718687e-05,1.1354998910373844,0.12770810977412683,6.787965276624463e-11,1.9007937284296824e-20
q3_coheat_search,longest_valid_time_per_stop_reason,horizon,q3_coheat_62b82e10c34b9b493202,1,300.0,-1.2597276792544676,0.5670855755169586,0.6085267064648875,0.06645356451447265,7.300971986263839e-05,2.4454162347322668,0.49833286583959463,7.395145937985103e-11,0.07951922732084958
q3_coheat_search,longest_valid_time_per_stop_reason,horizon,q3_coheat_62b82e10c34b9b493202,2,300.0,4.271035533768156,0.5682379708812717,0.5643169013416263,0.1048706152672745,6.619625617495109e-05,1.6659571934314668,0.31150816142333126,9.680537226265554e-11,2.2483845872788756e-10
q3_coheat_search,longest_valid_time_per_stop_reason,horizon,q3_coheat_62b82e10c34b9b493202,3,300.0,6.736012156818958,0.570543867049467,0.5559653475395918,0.10844557283125734,6.629057404827445e-05,1.583760027646164,0.30289515970275244,1.0712131489932078e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,horizon,q3_coheat_62b82e10c34b9b493202,4,300.0,4.864418335679716,0.5697831463592503,0.5605130067781535,0.10602014878974872,6.613887936721175e-05,1.6295430034646805,0.3092685980738884,1.0171903962314223e-10,4.3719311807777054e-15
q3_coheat_search,longest_valid_time_per_stop_reason,horizon,q3_coheat_62b82e10c34b9b493202,5,300.0,-0.6976790954569765,0.5709716061225838,0.598872228160988,0.07160113977788599,7.128514356909531e-05,2.2824055122668736,0.46247113847638777,7.755909081316751e-11,0.0658257957137919
q3_coheat_search,longest_valid_time_per_stop_reason,success,q3_refine_coheat_1e89c91d347fd9589474,1,299.9069145636609,0.009999999999990905,0.5679931558216363,0.5999818454913337,0.07314593674174848,7.07809066251289e-05,2.245540775929484,0.44818017556937084,7.835183435507694e-11,0.05760404958126889
q3_coheat_search,longest_valid_time_per_stop_reason,success,q3_refine_coheat_1e89c91d347fd9589474,2,299.9069145636609,6.189675393807704,0.5688484266170392,0.5586442617922881,0.10824755106418943,6.630694122025153e-05,1.6015166075352947,0.302603956236516,1.0367702386359278e-10,7.284014502520308e-21
q3_coheat_search,longest_valid_time_per_stop_reason,success,q3_refine_coheat_1e89c91d347fd9589474,3,299.9069145636609,8.77999949346622,0.572253488833424,0.5498992802324927,0.11100000296036158,6.640684806976027e-05,1.5308098397111387,0.29695940708591306,1.1488124801938803e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,success,q3_refine_coheat_1e89c91d347fd9589474,4,299.9069145636609,6.926898402429231,0.5714932850074195,0.5543624167480812,0.10863380462293022,6.625576438649149e-05,1.572167889369237,0.30291020078781616,1.0932840392030401e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,success,q3_refine_coheat_1e89c91d347fd9589474,5,299.9069145636609,0.9869328522329965,0.5977266043080587,0.5729352843652372,0.0690730203290441,6.667503828743133e-05,2.2875807618563466,0.48136471291137745,8.272917166020753e-11,0.01651360755633946
q3_coheat_search,longest_valid_time_per_stop_reason,voltage,q3_coheat_088047846a2e708f14c9,1,198.49891186093376,7.303347650788396,0.5738335768423551,0.5590716040427178,0.10293018302613886,6.654284359067442e-05,1.660688648052092,0.31898500161122634,1.0166345282827405e-10,3.7702888105251514e-09
q3_coheat_search,longest_valid_time_per_stop_reason,voltage,q3_coheat_088047846a2e708f14c9,2,198.49891186093376,23.90052029192151,0.531052174050337,0.5075080854280415,0.18197762198451364,6.735435475320268e-05,1.0710239384885014,0.18044173353006726,1.8384685025923455e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,voltage,q3_coheat_088047846a2e708f14c9,3,198.49891186093376,31.29986679382398,0.29999999900000013,0.4830516865845986,0.4302520479144251,6.76427289772945e-05,0.7986715030809011,0.0714143347830656,2.385632319665095e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,voltage,q3_coheat_088047846a2e708f14c9,4,198.49891186093376,28.75831886534985,0.41463704155273556,0.4884034645089117,0.31187269319486743,6.741707557481683e-05,0.8650966265339383,0.10195907573481329,2.2649857059136854e-10,0.0
q3_coheat_search,longest_valid_time_per_stop_reason,voltage,q3_coheat_088047846a2e708f14c9,5,198.49891186093376,16.601009921443563,0.5728826691784206,0.5225205797791586,0.12966372124527464,6.667052770972208e-05,1.2920501702806937,0.2575626212529884,1.56951579627537e-10,0.0
q3_preheat_search,longest_valid_time_per_stop_reason,membrane,q3_preheat_c62377fc5df85e6addaf,1,85.5741564869565,-27.901531917461284,1.2657654784234886,0.0,0.0,-0.0,0.7986866926289494,0.03012151789257824,3.5171709897961434e-11,3.3316795040853562e-21
q3_preheat_search,longest_valid_time_per_stop_reason,membrane,q3_preheat_c62377fc5df85e6addaf,2,85.5741564869565,-27.36404190809961,1.2652759757864815,0.0,0.0,-0.0,0.6595830920009408,0.003826598792542664,3.6603747788199655e-11,3.7438146591936596e-21
q3_preheat_search,longest_valid_time_per_stop_reason,membrane,q3_preheat_c62377fc5df85e6addaf,3,85.5741564869565,-27.1060482684654,1.2650216317743506,0.0,0.0,-0.0,0.6396408073444138,0.0,3.7131204731991895e-11,3.805280944167453e-20
q3_preheat_search,longest_valid_time_per_stop_reason,membrane,q3_preheat_c62377fc5df85e6addaf,4,85.5741564869565,-27.234797866039116,1.2651100315813328,0.0,0.0,-0.0,0.6819600704396647,0.008141452612687092,3.6795794260874626e-11,6.056625540427038e-22
q3_preheat_search,longest_valid_time_per_stop_reason,membrane,q3_preheat_c62377fc5df85e6addaf,5,85.5741564869565,-27.66995180583953,1.2654819912980586,0.0,0.0,-0.0,0.7575557935056473,0.022492957738751408,3.584277036083925e-11,6.6493056257079715e-21
