j0,tau_b,tau_f
1.422178584934386,-0.14209458202169384,0.03276768735863319
1.4207630196651166,-0.1438971644077469,0.03269651023742881
1.4208828219096858,-0.14513497788518256,0.03309610296682308
1.4207126764115212,-0.14607683531148535,0.03377523671540909
1.4216810942812685,-0.1440714270223964,0.034862237888215006
1.4211279121004359,-0.14446415452032588,0.036760979157908956
1.420539677045222,-0.14602038812701798,0.03639891211761892
1.4202740728165963,-0.146842342682163,0.03720267711884162
1.4203104101748447,-0.14678013323508785,0.03727144072224557
0.0,0.0,0.0
-0.0021911469493337186,0.06189889223927973,0.0
-0.002784794446597516,0.06209114541680568,0.0
-0.0031532073819562356,0.0684649671901146,0.0
-0.003213967103003294,0.07795334884500942,0.0
-0.0034570781698069672,0.08116573992632918,0.0
-0.004053242290069647,0.08271319687575367,0.0
-0.004421039022872719,0.08493571354885414,0.0
-0.004828374711488929,0.09022639447853939,0.0
-0.004560742474761052,0.09249648748076804,0.0
-0.005252403828611326,0.09687703737218575,0.0
-0.005525883023930571,0.1037005666451781,0.0
-0.0056313585086324265,0.10593380997268773,0.0
-0.005923208031314668,0.10765736516968143,0.0
-0.006194988707382739,0.11107034980473904,0.0
-0.0064715292940794224,0.11446764301581425,0.0
-0.006748265333082297,0.11803828089019439,0.0
-0.007022555431982862,0.1213797622066674,0.0
0.02004996714030464,0.13010107419972883,0.0
-0.009717867202615102,0.12915798287641186,0.0
-0.00190144615146437,0.13522559634016793,0.0
-0.005956224381975517,0.13466551424983209,0.0
-0.02090434076554478,0.12959615919025208,0.0
-0.02442749140811884,0.12136852723187985,0.0
-0.017434100287990383,0.1285597260978951,0.0
-0.009542658398231652,0.1356875532299758,0.0
-0.013942446464435914,0.1424026467143828,0.0
-0.009714826363923143,0.14827250316784557,0.0
-0.017089528417576126,0.14981560831207238,0.0
-0.007132342590428683,0.15075571287184175,0.0
-0.011753882884590894,0.15098862613456276,0.0
-0.040051472903239,0.14861568173027234,0.0
-0.013792721700648752,0.15699075326362316,0.0
-0.015865232872632383,0.15921822355456547,0.0
-0.018240011810159256,0.15837678132110494,0.0
-0.015902709807846804,0.15820343407521403,0.0
-0.045024552808096516,0.1370261530202773,0.0
-0.016924860157511528,0.14078970364532023,0.0
-0.021446762931986996,0.14260741889131623,0.0
-0.04554599175605745,0.13047325811328392,0.0
-0.0240545635961098,0.17942656716532687,0.0
-0.038825276009409514,0.15113898799938852,0.0
-0.0463938496229351,0.14684106729324262,0.0
-0.07391989569498492,0.11923387477755418,0.0
-0.05774800627023069,0.13282769435249975,0.0
-0.059895552138300445,0.1333054285500642,0.0
-0.06657387038065585,0.14080015491420758,0.0
-0.08224153669497507,0.13115584356929352,0.0
-0.08937569633549933,0.10606848662841155,0.0
-0.08658852566914751,0.1325065031721806,0.0
-0.13792356533125866,0.0865371216169327,0.0
-0.09947300311618316,0.12109546814732161,0.0
-0.11936051083030938,0.11380625717360242,0.0
-0.15913934563798193,0.1038585007980449,0.0
-0.13227696607316375,0.10136799753392249,0.0
-0.120885811125504,0.12361943015548604,0.0
-0.23103305706039617,0.1184445620575995,0.0
-0.1418345868207401,0.12255370997612167,0.0
-0.16813044571601193,0.12000364169940289,0.0
-0.1543895326041896,0.1186910851885159,0.0
-0.19089820422190468,0.11745285389205644,0.0
-0.19792872387161728,0.1154513885050316,0.0
-0.17842649874069139,0.11398838213665385,0.0
-0.2081871295824082,0.11261595850934707,0.0
-0.1970628031372712,0.1115031463361523,0.0
-0.1988379598666749,0.10681279218924071,0.0
-0.21026712870622077,0.11056792878747501,0.0
-0.29131035169408886,0.11214135424921778,0.0
-0.23601234009144417,0.09687152243647765,0.0
-0.29001444938927534,0.09171396922956396,0.0
-0.26911042306873395,0.10555450310458052,0.0
-0.2923439323078962,0.11002571078364554,0.0
-0.2948906967631615,0.10207441936103123,0.0
-0.2847857343354576,0.11114318639708169,0.0
-0.32312563388975,0.11950911971325695,0.0
-0.3152098441252823,0.13240094891576368,0.0
-0.35917218984119853,0.0794989566846501,0.0
-0.3525691313119713,0.061226913424642745,0.0
-0.3224669689212571,0.10893771182433436,0.0
-0.3350893556510452,0.15604809438703646,0.0
-0.31887237679484315,0.11118241577700398,0.0
-0.39939477492604664,0.08336486704128751,0.0
-0.3497911784066332,0.11987648011597685,0.0
-0.366716937353336,0.14739852289504068,0.0
-0.35538957798830023,0.09255388072138734,0.0
-0.39873491316342324,0.1275557190751897,0.0
-0.38566135231121734,0.1054699730379601,0.0
-0.4097695701579104,0.11418039228914267,0.0
-0.41300368805726373,0.11584110754701746,0.0
-0.37043692814601553,0.1814309994126499,0.0
-0.4996627787486811,0.05777751992942134,0.0
-0.45302541545642805,0.10480630407319799,0.0
-0.43886921640800364,0.11071239816828893,0.0
-0.5306003947301482,0.18292588195976123,0.0
-0.3283345361827136,0.14031477760691285,0.0
-0.4945200985465211,0.09855657737697736,0.0
-0.4763969563758982,0.12695554143059934,0.0
-0.4891825609860234,0.12255783525461084,0.0
-0.49955638271133773,0.1273395787521281,0.0
-0.46718584386316786,0.22034832499476428,-1.8947806286936007e-11
-0.4867416130181823,0.15770907747831114,-8.209137073815025e-10
-0.5133166558138669,0.15854358919256129,-1.5220715946876833e-05
-0.5207018635294011,0.16146366644136378,-6.956907820191797e-06
-0.5287044373858407,0.16493632326349447,-1.2505684784021772e-05
-0.5338635325908097,0.160609504891814,-0.0005251848672097974
-0.5350004747318357,0.17090122599938695,0.0007701129713192738
-0.550965990587334,0.1777137882565209,0.0009711303367983722
-0.5582827679091906,0.17532907130780967,-0.00019749529656110099
-0.5746582199193995,0.18008680744875014,-0.004423959107195212
-0.5411103788522572,0.19402914424280956,0.022609584624907107
-0.5718132684682095,0.17598664406790476,0.008819412136536661
-0.5879584924997516,0.1722976551387016,0.0013069647413506877
-0.6139488168377246,0.1576260524539445,-0.02758258704555298
-0.5917328009118705,0.18400366387680833,0.019678451129342044
-0.6335427519208755,0.12697585376978776,-0.009924572597697079
-0.6146483992021483,0.19510653579715154,0.0006302934579593966
-0.622266944446892,0.2009473353027147,-0.00012923759271643576
-0.6353622392604545,0.19660616687341798,-0.00042614155688625033
-0.6441580768902593,0.20030053145916327,-0.009245165832301913
-0.6401247074511692,0.19548540499035502,0.0037925629437533344
-0.6561763798217157,0.2223969353030005,-0.011777696878804516
-0.6809875978888158,0.1751798207957715,-0.013776309919914336
-0.6712195712959594,0.20506919852560185,-0.0012178563792986097
-0.6817883413660297,0.20902386188481614,-0.004697964780575603
-0.705084547285632,0.19655965257262173,-0.01486963688250853
-0.7115930616871917,0.1886854258572157,-0.005731361183336503
-0.7232751090668899,0.18276324465205107,-0.010545622444624314
-0.7307248577793265,0.1892089997629872,-0.036556150272796614
-0.7792152950339453,0.1416700061251201,-0.032634045055601746
-0.7664491176531859,0.10257341511987761,-0.021456587117067254
-0.7818780976549533,0.03766684195246247,0.008144069271054377
-0.8074304572825024,-0.07832525749194019,-0.030706583174833213
-0.8270939752918594,-0.15024537958652218,-0.009033361139643148
-0.7968570110833184,0.15990052990370413,-0.01077417300621164
-0.8088588320134704,0.1792892225263169,-0.00689370433046103
-0.7805675091835459,0.1862745848228542,-0.0035031087136871975
-0.8196244632472371,0.19380589424145,0.0018773893216916804
-0.8436111022926223,0.19145130853672754,0.010143795066142047
-0.8774165523467067,0.18828868678610888,-0.020646514371946978
-0.8471217416347562,0.1972785451646549,-0.01214337611230576
-0.8706285678954373,0.21541463254663995,0.005063745334155101
-0.8661220969595245,0.2101789337984883,-0.04344296039325476
-0.9047435231522627,0.22439358478247112,-0.01058801048117175
-0.9180753180795402,0.2086607920674055,-0.017478558535799493
-0.8938130385511538,0.22202872071375168,-0.007104538453006626
-0.8981784383702045,0.22641538168954867,-0.01495339974013632
-0.9722102173176003,0.20563563601996293,-0.03014481440762514
-0.9738411365053897,0.21726778243191802,-0.01139763260956291
-0.9309573954524808,0.238180004102162,-0.019849404187273954
-0.9787033828464095,0.24089463632511374,-0.015686329991145463
