temp_C,t_s,V_observed,V_original,V_improved,V_holdout,T_observed,T_improved
-20,11.4,0.504,0.6097441518094486,0.5327455634599382,0.5353149418520143,-19.39104885190491,-19.471221532286734
-20,11.6,0.501,0.6091362362785214,0.5342228468218786,0.5365611093103309,-19.34733006577775,-19.43066404581336
-20,11.8,0.498,0.6054567542646493,0.5292684559545294,0.5312908088840613,-19.301939615369232,-19.381259037234457
-20,12.0,0.495,0.6030832314300816,0.5270070116038023,0.5287570257742794,-19.25513738408463,-19.33278650305479
-20,12.2,0.493,0.598379626491226,0.5198754765627366,0.5212818519267421,-19.206363781584567,-19.274934478817897
-20,12.4,0.49,0.5955493232118919,0.5167112949270256,0.5178313101904835,-19.155564528274223,-19.21985759178591
-20,12.6,0.489,0.5927831000132397,0.5136729617210167,0.5145247491802375,-19.103318246367817,-19.164152081106437
-20,12.8,0.487,0.5906521896161391,0.5119580723362716,0.51257271262339,-19.049313542595623,-19.109123523495782
-20,13.0,0.486,0.588576695049436,0.5103170552051104,0.5107132085388806,-18.994126214383098,-19.05324464563975
-20,13.2,0.485,0.5859994618243987,0.5075669661900843,0.5077466789503842,-18.937757407420886,-18.99398471707738
-20,13.4,0.485,0.5840423671938402,0.5061030360671049,0.5060923958143135,-18.879828857804963,-18.935145355127844
-20,13.6,0.484,0.581047021375567,0.5023926396483438,0.5021848747242875,-18.82040590505613,-18.870984611110032
-20,13.8,0.489,0.5792027673893653,0.5011353707215863,0.50076239237126,-18.76018287478757,-18.808998044603356
-20,14.0,0.496,0.5790109153385364,0.5034020359802397,0.5029140914958078,-18.70032242179482,-18.753458640607818
-20,14.2,0.502,0.5788578589697452,0.5056648621939704,0.5050821502265905,-18.64115015702762,-18.699029562445844
-20,14.4,0.507,0.5798124907843747,0.510171594005847,0.5095161908757017,-18.582533091790246,-18.6493834490781
-20,14.6,0.512,0.5808032718726134,0.5145980385011818,0.5138802274386622,-18.524466778000225,-18.601126317668673
-20,14.8,0.517,0.5812998665438586,0.5178043405784131,0.5170255946814802,-18.466996189724306,-18.551401030352395
-20,15.0,0.521,0.581297203035709,0.5198175706623411,0.5189747741757827,-18.409760826411052,-18.499518890231627
-20,15.2,0.526,0.5818447626157122,0.5228883794854609,0.5219804391795195,-18.353037832523135,-18.449696216780552
-20,15.4,0.53,0.5829307326171435,0.5269965061367409,0.5260275928176861,-18.296860798181505,-18.402792007961153
-20,15.6,0.534,0.5835078582231318,0.5299263733281899,0.5288982193671686,-18.240850076894837,-18.35474774550002
-20,15.8,0.538,0.5835811293394345,0.531702277118321,0.5306110124310033,-18.185156048897987,-18.30457465244345
-20,16.0,0.54,0.5841830799201327,0.5345088311987537,0.5333488112845793,-18.12978020882951,-18.256293716960926
-20,16.2,0.545,0.5842729967865627,0.5361956946106131,0.5349697478072268,-18.074584041130002,-18.2065643139278
-20,16.4,0.549,0.5853914626040148,0.539959565048819,0.5386585448546549,-18.01967402859838,-18.160965772177036
-20,16.6,0.552,0.5865087662743792,0.5436475883161346,0.5422719021361142,-17.965157503993815,-18.11670539845815
-20,16.8,0.555,0.586614589072022,0.5451648853422657,0.5437229239250998,-17.910795478329696,-18.068704998222813
-20,17.0,0.558,0.5872280876415822,0.5476692628991591,0.5461505047164782,-17.856700053450815,-18.022367585350224
-20,17.2,0.561,0.58783628134243,0.5501189392466137,0.5485207962384291,-17.803041430259576,-17.9766642276837
-20,17.4,0.564,0.5884407040164085,0.552513249538101,0.5508357229776946,-17.749645565636364,-17.93131102565934
-20,17.6,0.567,0.5890407848271133,0.5548519445961164,0.5530923592727851,-17.696456467400644,-17.886300278487226
-20,17.8,0.57,0.5896349108734399,0.5571357284749732,0.5552910425574032,-17.643477332028418,-17.841639029454058
-20,18.0,0.573,0.5907187729925023,0.5603598294927004,0.5584243966556058,-17.59088354988372,-17.799447322390137
-20,18.2,0.576,0.5912988335398188,0.5625196066905007,0.5604978727496057,-17.538679352747998,-17.75607621220351
-20,18.4,0.579,0.5918769822449855,0.5646206208264115,0.5625145590011661,-17.48675627971982,-17.712665907919956
-20,18.6,0.581,0.5919603729587407,0.5656957674847078,0.5635077996627316,-17.43500715386101,-17.667548471817298
-20,18.8,0.584,0.5930058722304083,0.5686766181315328,0.5663920117368995,-17.383438262067205,-17.62627579275724
-20,19.0,0.587,0.5930764392974986,0.5696748534987238,0.5673082167413842,-17.332224215564384,-17.58198285090367
-20,19.2,0.589,0.5936216512027697,0.5715992969867999,0.5691396536561316,-17.2813135531451,-17.539221238155477
-20,19.4,0.591,0.5941560250376465,0.5734838001213559,0.5709324114903329,-17.230658994674275,-17.497021996132702
-20,19.6,0.594,0.5946829158333162,0.5753271199942667,0.5726835932266425,-17.180265309287524,-17.45511596876557
-20,19.8,0.596,0.5952004356714016,0.5771287873390472,0.5743917353548579,-17.130190881011846,-17.413498845792503
-20,20.0,0.599,0.5961808883074987,0.579816897674201,0.5769814264835241,-17.080544352814105,-17.374247338076174
-20,20.2,0.601,0.5962171803130218,0.5805977215683636,0.5776770128333528,-17.031206895426568,-17.331747150067457
-20,20.4,0.603,0.5967111588543751,0.5822728921670045,0.5792595306207984,-16.982170677526245,-17.29065864545248
-20,20.6,0.605,0.5971933495414009,0.583913502109419,0.5808059824034908,-16.93342436954048,-17.250133515904054
-20,20.8,0.607,0.5976651027317771,0.5855186314756282,0.5823175007275135,-16.884844169868916,-17.209961072359988
-20,21.0,0.609,0.5985852948909768,0.587987991014876,0.5846881989414695,-16.83663537064699,-17.17199227557242
-20,21.2,0.611,0.5985801654741879,0.5886113008045212,0.5852259725495714,-16.78872898814699,-17.13076586861979
