t_s,observed_K_s,model_K_s
10.2,0.1656390174665234,0.16762059357784956
10.4,0.17385381277596879,0.17709774259622052
10.6,0.1820902781572252,0.18593521762383206
10.8,0.19029333955148717,0.19380503963763865
11.0,0.19839979185951553,0.2008320917755418
11.2,0.20651466981516103,0.20871686045322868
11.4,0.21472637216166784,0.21584150680971048
11.6,0.22297375133802264,0.2231977919024213
11.8,0.23129101191867849,0.22933235806016825
12.0,0.23964557767646286,0.23626349270184233
12.2,0.24793543101585364,0.2432746927894575
12.4,0.2560238193218508,0.2490862412700327
12.6,0.26390590381534673,0.25675919977763706
12.8,0.27146003018423687,0.2626486977993733
13.0,0.2783095100268989,0.2666891357563679
13.2,0.2840252406863436,0.2681752488187274
13.4,0.28845641289723767,0.26822181418888935
13.6,0.2915828759725022,0.26610517690672925
13.8,0.293333560981669,0.2626213556587239
14.0,0.29389710883420356,0.25818071727817093
14.2,0.2933327577108406,0.2528042587990113
14.4,0.2917688443885272,0.2468574778840382
14.6,0.28960167174293383,0.24101984352383782
14.8,0.28725400253228367,0.23726100289948862
15.0,0.2850412208578069,0.23541477504715827
15.2,0.2830439342057095,0.23464616224942697
15.4,0.28122143258089055,0.23413375599327113
15.6,0.27952660759315195,0.23289838319252826
15.8,0.2779605291175115,0.23148651623524052
16.0,0.27646851220449586,0.23001229842928345
16.2,0.2750405479988561,0.22889749517725214
16.4,0.2736397606248321,0.22793172207521945
16.6,0.2715222951904798,0.22538714551426667
16.8,0.27082848289843015,0.22474545693304798
17.0,0.26942457906879774,0.22307504804523298
17.2,0.2679753810153078,0.22139026092921482
17.4,0.26651216092817837,0.22028551563583934
17.6,0.2650661200713364,0.2193084895186317
17.8,0.26363265793569196,0.2175870080390589
18.0,0.2622229750986262,0.21651777376388853
18.2,0.26083850128903124,0.2157013078452192
18.4,0.2594466652612254,0.21493954602408116
18.6,0.2580530646461692,0.21425736552096097
18.8,0.25666521286979416,0.21355005668201768
19.0,0.2552701732220537,0.21244996847463332
19.2,0.2538440881466536,0.2115389911883148
19.4,0.25236025842862486,0.21041176975818757
19.6,0.25082012429555617,0.20924950016494248
19.8,0.24928289213241284,0.20834479267564332
20.0,0.24775904010004046,0.2067303328393235
20.2,0.24623579261752315,0.20577690136029658
20.4,0.24473938641212434,0.20502471963467023
20.6,0.24328036340074918,0.20429031766830816
20.8,0.24189499946352624,0.20315318018413453
21.0,0.24058754341183902,0.20233367643751962
21.2,0.2393404856732769,0.20115709199046458
21.4,0.23813201068687775,0.20030947844489827
21.6,0.236928396572457,0.199107406365022
21.8,0.23572448300875065,0.19792788515647888
22.0,0.23454599415735222,0.1976472229856456
22.2,0.23336540889955104,0.19612478739433628
22.4,0.2321914147042137,0.19529816846871784
22.6,0.2310448985016642,0.19467537751060926
22.8,0.2298582799706687,0.1936732894006862
23.0,0.22867468705132463,0.19258687958840368
23.2,0.2276290404567041,0.1915354533262313
23.4,0.22696518159658538,0.193245886845016
23.6,0.22694600298254064,0.19755319003302624
23.8,0.22779602191835743,0.20366870981358162
24.0,0.22980656010515355,0.21292870775487532
24.2,0.23311689140926298,0.22475630363842514
24.4,0.2375515451772636,0.23670368173252143
24.6,0.24295018008597777,0.24783009919129032
24.8,0.24919448100978628,0.2587500120866436
25.0,0.25600329321108883,0.2673800637548446
25.2,0.2631073191501571,0.274356781427039
25.4,0.2702547635313441,0.27759366058760504
25.6,0.2773289192821699,0.28010701211914096
25.8,0.2844106855422307,0.28350870390135846
26.0,0.291582450734955,0.2891084265958841
26.2,0.2989568175419768,0.29686495166236854
26.4,0.30646718392651845,0.3060550477950758
26.6,0.3138794974703818,0.3155644658370109
26.8,0.32113272303082285,0.3244537394645469
27.0,0.3282216815529794,0.3339315807651879
27.2,0.3349226153211678,0.342006305872418
27.4,0.34090069564049286,0.34741271998096307
27.6,0.3458354784815619,0.348633461838063
27.8,0.3495434381249782,0.34658793366767476
28.0,0.3520837844790821,0.34220866982986514
28.2,0.3535758244814972,0.33782415823890644
28.4,0.35414364657143976,0.3330001809105283
28.6,0.35372271274521033,0.3276347959546916
28.8,0.352430106967574,0.3217170685075677
29.0,0.3506523428858147,0.31665096599434733
29.2,0.3487315213912867,0.3133408118997638
29.4,0.34687201922415173,0.3115897972163776
29.6,0.34505298232061565,0.31018995528722704
29.8,0.3432290415118805,0.30844730350329547
30.0,0.3413929538230743,0.30708666033753446
30.2,0.3395876013865015,0.30548236583609845
30.4,0.33783820401476716,0.3039734446651665
30.6,0.33618202957183596,0.30313427105655505
30.8,0.3345330452144115,0.3020194874600946
31.0,0.3328563234233568,0.3005035936244041
31.2,0.33119118940795367,0.2992853427000242
31.4,0.3295401092496583,0.29764047285673384
31.6,0.32795568836296735,0.29635791642177317
31.8,0.3263975887907749,0.2950526729337692
32.0,0.324834959344322,0.2936697611980875
32.2,0.3224288165932341,0.2913619214553278
32.4,0.3216640889917774,0.2905690019904541
32.6,0.32013170306460137,0.2887463001365931
32.8,0.3186895404162502,0.287260440969418
33.0,0.31730938207212733,0.2855282048952888
33.2,0.31594892520568535,0.2837920590857327
33.4,0.3145893666090935,0.2824644308958728
33.6,0.31321458231888655,0.2806749505856151
33.8,0.3118527512549438,0.2788816695469261
34.0,0.31052907401521707,0.2774820535655512
34.2,0.30927351410824366,0.2762676263126126
34.4,0.30806029816121305,0.27508410931621613
34.6,0.30684081113331,0.27352388363705105
34.8,0.3056014959524988,0.27198615345689187
35.0,0.3043633219007262,0.2707249987304242
35.2,0.30313448094095186,0.26913602215098176
35.4,0.3019878570028311,0.26779962135855184
35.6,0.30086519703487663,0.266164310721567
35.8,0.3002819044455886,0.26560434927135634
36.0,0.29964666407704316,0.26450263311099376
36.2,0.29897486476603363,0.26364990887916795
36.4,0.29833537838683094,0.26306931894035895
36.6,0.2978110905100254,0.2626912613458891
