T_C,j_A_cm2,error_V,valid
-4.5,2.958958061931839e-07,1.0930397814190584e-05,True
-4.5,3.4578422265023266e-07,1.231894604969419e-05,True
-4.5,4.040838907860794e-07,1.3694396152175159e-05,True
-4.5,4.722129585362281e-07,1.4932395861588788e-05,True
-4.5,5.518286754162768e-07,1.5840009510492692e-05,True
-4.5,6.448677053582382e-07,1.6138050751957067e-05,True
-4.5,7.535932363433208e-07,1.5452105907476366e-05,True
-4.5,8.806500327798515e-07,1.3325168421340905e-05,True
-4.5,1.0291287697834797e-06,9.267454142980469e-06,True
-4.5,1.2026412143004133e-06,2.8530600615361834e-06,True
-4.5,1.4054080818654717e-06,6.14705756074585e-06,True
-4.5,1.6423617061234313e-06,1.763735236282038e-05,True
-4.5,1.919266018564754e-06,3.113858220182841e-05,True
-4.5,2.242856757000253e-06,4.5846013206896075e-05,True
-4.5,2.6210053133663435e-06,6.079779293033383e-05,True
-4.5,3.062910206482632e-06,7.50854608875251e-05,True
-4.5,3.579320837364593e-06,8.802062180390813e-05,True
-4.5,4.182798969972031e-06,9.920723041756396e-05,True
-4.5,4.8880242979506284e-06,0.00010852322603205344,True
-4.5,5.7121515303221566e-06,0.00011604930040776118,True
-4.5,6.6752276822850066e-06,0.00012198555968145897,True
-4.5,7.800679721784456e-06,0.00012658181879188213,True
-4.5,9.115884433926798e-06,0.00013009048371204202,True
-4.5,1.0652834365272401e-05,0.0001327403585671405,True
-4.5,1.244891604719963e-05,0.0001347256205670444,True
-4.5,1.4547819428736743e-05,0.00013620407347825214,True
-4.5,1.700060064094805e-05,0.000137300211417557,True
-4.5,1.9866923944772957e-05,0.00013811022686605057,True
-4.5,2.3216513072880598e-05,0.00013870735194454475,True
-4.5,2.7130847269642384e-05,0.00013914674908410696,True
-4.5,3.170514328564207e-05,0.00013946965159594704,True
-4.5,3.705067153902942e-05,0.00013970670957585973,True
-4.5,4.329746278468033e-05,0.0001398806139809583,True
-4.5,5.0597471131285437e-05,0.0001400081137301612,True
-4.5,5.9128270347219716e-05,0.00014010154490384785,True
-4.5,6.909737336837289e-05,0.00014016997884791493,True
-4.5,8.074728008059909e-05,0.00014022007820191362,True
-4.5,9.436137616482962e-05,0.00014025673200568356,True
-4.5,0.00011027082649511832,0.00014028352519823706,True
-4.5,0.00012886263077253266,0.00014030308479151543,True
-4.5,0.00015058903734935916,0.0001403173346175013,True
-4.5,0.00017597854423627313,0.00014032768252869587,True
-4.5,0.0002056487548935761,0.0001403351578027623,True
-4.5,0.00024032140152549899,0.00014034051190947583,True
-4.5,0.00028083990132139714,0.00014034429234466295,True
-4.5,0.00032818987270196787,0.00014034689668174227,True
-4.5,0.0003835231106311733,0.00014034861209988314,True
-4.5,0.0004481856041968269,0.00014034964424891605,True
-4.5,0.0005237502779915854,0.00014035013828062048,True
-4.5,0.0006120552537332152,0.00014035019412395044,True
-4.5,0.0007152485628436249,0.00014034987751232464,True
-4.5,0.0008358403976266819,0.00014034922788708215,True
-4.5,0.0009767641720623372,0.00014034826396580602,True
-4.5,0.0011414478775297805,0.00014034698757958708,True
-4.5,0.0013338974691980096,0.0001403453861885673,True
-4.5,0.0015587943114699354,0.0001403434343920651,True
-4.5,0.0018216090528546738,0.00014034109463378908,True
-4.5,0.0021287347002908923,0.00014033831726201207,True
-4.5,0.0024876421299735775,0.00014033504003141406,True
-4.5,0.0029070618175077593,0.00014033118710965464,True
-4.5,0.003397196208001707,0.00014032666761365498,True
-4.5,0.003969967892033094,0.0001403213736761444,True
