candidate,cache_hit,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,E_aux_to_success_J
q2_boundary_refine_a78637615ceb84c99e78,True,1623ad4dc4969388,feasible,success,54.1879691013193,54.1879691013193,0.0,success,passed,0.0,18.734997158249723,3.0737615999532863,539,2.0812456235957395e-14,4.1898773313783535e-16,,0.555793659064835,2.0042764070566224e-20,7.628731882336524,q2_boundary_refine_a78637615ceb84c99e78,True,1623ad4dc4969388,904567fd11d251fb,0.0
q2_boundary_refine_3c89380c37fc83fb9bbc,True,1623ad4dc4969388,infeasible,charge,,104.85044762132178,0.0,charge,charge,0.0,20.0,3.9868051999947056,686,1.546744232125263e-14,2.7932515542522357e-16,,0.6130132518513474,5.830748672537456e-19,4.950883941530947,q2_boundary_refine_3c89380c37fc83fb9bbc,True,1623ad4dc4969388,904567fd11d251fb,
q2_boundary_refine_1db25253a1c397e04bfc,True,d8a3c43da7d4a37f,feasible,success,92.87666860520072,92.87666860520072,0.0,success,passed,0.0,19.4630005815602,3.1877667999942787,659,8.383397514946554e-15,4.2457423624634106e-16,,0.5685258600390172,5.690879144204407e-20,6.9633344473056695,q2_boundary_refine_1db25253a1c397e04bfc,True,d8a3c43da7d4a37f,904567fd11d251fb,0.0
q2_boundary_refine_7cdc340be9414f1e242c,True,2b3fe103e7a4a763,feasible,success,87.76981038045848,87.76981038045848,0.0,success,passed,0.0,17.930943114137538,2.9382030999986455,645,8.045351322860165e-15,6.065346232090586e-16,,0.5677702912703056,1.729285781788755e-20,6.6683218702796125,q2_boundary_refine_7cdc340be9414f1e242c,True,2b3fe103e7a4a763,904567fd11d251fb,0.0
q2_boundary_refine_3fa47e0f8959922e36cd,True,f0b3c84a478afb86,feasible,success,82.74480510633276,82.74480510633276,0.0,success,passed,0.0,16.423441531899837,2.8647759000305086,619,7.158837354290691e-15,6.531911326866785e-16,,0.5669305937057221,3.968210556336545e-20,6.335032223235828,q2_boundary_refine_3fa47e0f8959922e36cd,True,f0b3c84a478afb86,904567fd11d251fb,0.0
q2_boundary_refine_7b3958617cb31faca6cb,True,bac5b95812f6cda4,infeasible,charge,,94.66666666666677,0.0,charge,charge,0.0,20.0,3.2628701999783516,683,7.379631849057165e-15,3.3589733880248595e-16,,0.5692537726476752,1.4865022869566724e-20,7.056789623093209,q2_boundary_refine_7b3958617cb31faca6cb,True,bac5b95812f6cda4,904567fd11d251fb,
q2_boundary_refine_ed7c7cff0298a43ea457,True,280f2aaacf86f65f,infeasible,charge,,94.66666666666676,0.0,charge,charge,0.0,20.0,3.487525000004098,691,5.487724204790422e-15,3.4020371494097793e-16,,0.5690583795402772,3.53316066528144e-21,7.057106731949943,q2_boundary_refine_ed7c7cff0298a43ea457,True,280f2aaacf86f65f,904567fd11d251fb,
q2_boundary_refine_481610e89122dcda39c4,True,6d8f76d8ffa4c9cd,infeasible,charge,,94.66666666666676,0.0,charge,charge,0.0,20.0,2.776173199992627,669,8.247693350422883e-15,5.51395112008236e-16,,0.5688719039357485,4.1630286618709495e-20,7.057335658906823,q2_boundary_refine_481610e89122dcda39c4,True,6d8f76d8ffa4c9cd,904567fd11d251fb,
q2_boundary_refine_94466556969f565b9282,True,1623ad4dc4969388,feasible,success,93.90756204237003,93.90756204237003,0.0,success,passed,0.0,19.772268612710988,2.8124975000391714,683,6.4981058602619414e-15,4.1898773313783535e-16,,0.568694386818025,1.7045411424412726e-20,7.018058522305239,q2_boundary_refine_94466556969f565b9282,True,1623ad4dc4969388,904567fd11d251fb,0.0
q2_boundary_refine_43f1a9b05c35e2562224,True,aebe57a13abfa042,infeasible,charge,,94.66666666666674,0.0,charge,charge,0.0,20.0,3.134085799974855,665,2.646343462513826e-15,2.234601243401795e-16,,0.5715204665486955,3.138826198633353e-20,7.03739085840931,q2_boundary_refine_43f1a9b05c35e2562224,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_2cd7883432b5382177bf,True,aebe57a13abfa042,infeasible,charge,,76.74761390931869,0.0,charge,charge,0.0,20.0,2.9531957000144757,618,4.214640283244914e-15,3.3519018651026927e-16,,0.5404863989162705,2.31511172400942e-20,8.31423994308824,q2_boundary_refine_2cd7883432b5382177bf,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_1e4df4f8d50794f0e29b,True,aebe57a13abfa042,infeasible,charge,,63.85805493535061,0.0,charge,charge,0.0,20.0,10.572687399981078,1639,1.5427259950047721e-12,6.703803730205385e-16,,0.5287793141615801,0.0006629681990077756,9.078300128978867,q2_boundary_refine_1e4df4f8d50794f0e29b,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_275e15920a56f2364852,True,aebe57a13abfa042,infeasible,charge,,81.28544545930659,0.0,charge,charge,0.0,20.0,2.990558299992699,620,5.3446238494323615e-15,4.46920248680359e-16,,0.5553775705130237,4.627456497449995e-20,7.7680386919129205,q2_boundary_refine_275e15920a56f2364852,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_290b9f7fab056efc57ab,True,aebe57a13abfa042,infeasible,charge,,68.36367696720959,0.0,charge,charge,0.0,20.000000000000004,7.675875599961728,1245,1.2133998791146862e-13,2.234601243401795e-16,,0.5218408319676244,0.00028727213942515066,9.048786667172067,q2_boundary_refine_290b9f7fab056efc57ab,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_ec27125831d37377c125,True,aebe57a13abfa042,infeasible,charge,,73.86708179837379,0.0,charge,charge,0.0,20.0,3.0832994999946095,606,1.3957522036764524e-14,3.3519018651026927e-16,,0.5460415433532834,3.011319061949935e-20,8.206314691266925,q2_boundary_refine_ec27125831d37377c125,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_3435cbefab7cd32f7d99,True,aebe57a13abfa042,infeasible,charge,,86.99185044777303,0.0,charge,charge,0.0,20.0,2.7795029999688268,629,9.584686204017532e-15,5.586503108504487e-16,,0.5761590761361357,3.212073503081419e-19,6.9168807590630195,q2_boundary_refine_3435cbefab7cd32f7d99,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_7878ce53e10a4b925a8b,True,aebe57a13abfa042,infeasible,charge,,81.23476005051948,0.0,charge,charge,0.0,20.000000000000004,2.8363154999678954,618,5.9555565399493905e-15,4.46920248680359e-16,,0.5705342447320199,1.808138989559003e-20,7.201764673619266,q2_boundary_refine_7878ce53e10a4b925a8b,True,aebe57a13abfa042,904567fd11d251fb,
q2_boundary_refine_ca03a4b06fb301cb5cd0,True,7327b4013aa84001,infeasible,charge,,76.74761390931869,0.0,charge,charge,0.0,19.999999999999996,2.745363099966198,607,4.528774962741429e-15,9.434983027696468e-16,,0.5381343404388309,1.4204154304503565e-19,8.351685096201663,q2_boundary_refine_ca03a4b06fb301cb5cd0,True,7327b4013aa84001,904567fd11d251fb,
q2_boundary_refine_e630fe08678e13bc842c,True,7327b4013aa84001,infeasible,charge,,94.66666666666676,0.0,charge,charge,0.0,19.999999999999996,3.2207703000167385,664,1.943155386437687e-15,3.5381186353861756e-16,,0.5708655287415206,3.112372941738187e-20,7.04662004806238,q2_boundary_refine_e630fe08678e13bc842c,True,7327b4013aa84001,904567fd11d251fb,
