t_s,observed_K_s,model_K_s
10.8,0.19029333955148717,0.1969365841402363
11.0,0.19839979185951553,0.2040638108758077
11.2,0.20651466981516103,0.2120039740292073
11.4,0.21472637216166784,0.21923447231105708
11.6,0.22297375133802264,0.2266768293839963
11.8,0.23129101191867849,0.2329322191600277
12.0,0.23964557767646286,0.23997390346186004
12.2,0.24793543101585364,0.24709920570805655
12.4,0.2560238193218508,0.25290169512363786
12.6,0.26390590381534673,0.26068306769969213
12.8,0.27146003018423687,0.2666304746540173
13.0,0.2783095100268989,0.27074461344974327
13.2,0.2840252406863436,0.27228443011476905
13.4,0.28845641289723767,0.2723187087460868
13.6,0.2915828759725022,0.27023667914704924
13.8,0.293333560981669,0.2667432421605023
14.0,0.29389710883420356,0.2623136469431446
14.2,0.2933327577108406,0.2569487430282891
14.4,0.2917688443885272,0.2510095020991129
14.6,0.28960167174293383,0.24512848565701478
14.8,0.28725400253228367,0.24143263038040141
15.0,0.2850412208578069,0.23954545366557867
15.2,0.2830439342057095,0.2388594099166779
15.4,0.28122143258089055,0.23833884771447666
15.6,0.27952660759315195,0.23713895234245308
15.8,0.2779605291175115,0.23576458398220168
16.0,0.27646851220449586,0.23428123193427655
16.2,0.2750405479988561,0.23316082961114515
16.4,0.2736397606248321,0.2321984926466897
16.6,0.2715222951904798,0.22967622480266542
16.8,0.27082848289843015,0.22916686544028705
17.0,0.26942457906879774,0.2274621424134598
17.2,0.2679753810153078,0.22582766078467767
17.4,0.26651216092817837,0.22483623985501172
17.6,0.2650661200713364,0.22402030312773977
17.8,0.26363265793569196,0.2223582804957442
18.0,0.2622229750986262,0.22140907984100208
18.2,0.26083850128903124,0.2206600763486318
18.4,0.2594466652612254,0.21994666373927135
18.6,0.2580530646461692,0.21927753105779701
18.8,0.25666521286979416,0.21865112982468485
19.0,0.2552701732220537,0.21761561652162847
19.2,0.2538440881466536,0.21651877319747415
19.4,0.25236025842862486,0.2153245280649608
19.6,0.25082012429555617,0.214051649446014
19.8,0.24928289213241284,0.21320761819481493
20.0,0.24775904010004046,0.21151253154130234
20.2,0.24623579261752315,0.21055631339738226
20.4,0.24473938641212434,0.20981246949399698
20.6,0.24328036340074918,0.20912428697990046
20.8,0.24189499946352624,0.2080329941135524
21.0,0.24058754341183902,0.20736662649789886
21.2,0.2393404856732769,0.20625861595522896
21.4,0.23813201068687775,0.205461154047001
21.6,0.236928396572457,0.20431900340250606
21.8,0.23572448300875065,0.2031836521411383
22.0,0.23454599415735222,0.20301208376387148
22.2,0.23336540889955104,0.20155144501390004
22.4,0.2321914147042137,0.20074655508078904
22.6,0.2310448985016642,0.2001096520263172
22.8,0.2298582799706687,0.19906235854522328
23.0,0.22867468705132463,0.19790967114515265
23.2,0.2276290404567041,0.19676913731328965
23.4,0.22696518159658538,0.19835042228243308
23.6,0.22694600298254064,0.20249340050940048
23.8,0.22779602191835743,0.20843698811010103
24.0,0.22980656010515355,0.2173310200276443
24.2,0.23311689140926298,0.22859555442559984
24.4,0.2375515451772636,0.23964043179577826
24.6,0.24295018008597777,0.24950136734467068
24.8,0.24919448100978628,0.2589143856013291
25.0,0.25600329321108883,0.26587345096456827
25.2,0.2631073191501571,0.2718651366381609
25.4,0.2702547635313441,0.2761875934091687
25.6,0.2773289192821699,0.28177689497700265
25.8,0.2844106855422307,0.28835877076639044
26.0,0.291582450734955,0.29710631430911266
26.2,0.2989568175419768,0.30776970145502947
26.4,0.30646718392651845,0.319393629017449
26.6,0.3138794974703818,0.3305709619235408
26.8,0.32113272303082285,0.3401259704301214
27.0,0.3282216815529794,0.3491240575559754
27.2,0.3349226153211678,0.3553283655678373
27.4,0.34090069564049286,0.3582395374195711
27.6,0.3458354784815619,0.3579359425592704
27.8,0.3495434381249782,0.3559389999000786
28.0,0.3520837844790821,0.3515916392417644
28.2,0.3535758244814972,0.3471977876568694
28.4,0.35414364657143976,0.34235155216414126
28.6,0.35372271274521033,0.3369820893562501
28.8,0.352430106967574,0.33103414400509995
29.0,0.3506523428858147,0.32594727925294703
29.2,0.3487315213912867,0.3226469255881977
29.4,0.34687201922415173,0.3208931359625169
29.6,0.34505298232061565,0.31955061443366495
29.8,0.3432290415118805,0.31785461694855394
30.0,0.3413929538230743,0.31656826858534787
30.2,0.3395876013865015,0.3150278502345046
30.4,0.33783820401476716,0.31368388050428603
30.6,0.33618202957183596,0.31283896832322017
30.8,0.3345330452144115,0.3118188328285945
31.0,0.3328563234233568,0.310349599658957
31.2,0.33119118940795367,0.30919156114219265
31.4,0.3295401092496583,0.30764017634706703
31.6,0.32795568836296735,0.30636122685349676
31.8,0.3263975887907749,0.3051297278891221
32.0,0.324834959344322,0.3038014781495325
32.2,0.3224288165932341,0.3015578411239802
