case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash,scenario,method,j0,tau_b,tau_f,h,lambda0,Rc
f8224275375e3c75,feasible,success,352.67410422702153,352.67410422702153,0.0,success,passed,0.0,96.80224991338511,86.53634930000408,7720,5.22596165751308e-13,1.9813813272693115e-15,,0.47396484937239514,0.130828439783944,7.29837631569967,0.0,robust_zero_constant_63f4166ed60a72624b99,True,f8224275375e3c75,904567fd11d251fb,17,zero_constant,,,,,,
c5166270d028bc8c,feasible,success,355.84335922384486,355.84335922384486,0.0,success,passed,0.0,97.75304086969585,81.35498200001894,7473,2.728807328209783e-12,2.2643941529757913e-15,,0.4646544638708226,0.15196570148188907,7.237139793172275,0.0,robust_zero_constant_584f13c59a212cbc3074,True,c5166270d028bc8c,904567fd11d251fb,18,zero_constant,,,,,,
2192da671f76d50d,feasible,success,356.37413639691937,356.37413639691937,0.0,success,passed,0.0,97.91225407241517,89.63636050000787,7945,5.458928774923746e-13,1.6983128236108797e-15,,0.47485054583347375,0.13282792549211198,7.376314345874505,0.0,robust_zero_constant_f904171d26b469c3bba1,True,2192da671f76d50d,904567fd11d251fb,19,zero_constant,,,,,,
c0f973617bcc6a7e,feasible,success,137.51985902941766,141.5,141.5,success,passed,5295.096880653653,33.45190623618225,205.35947040002793,26086,4.2980010443867015e-15,3.2550403627508113e-15,,0.5602585813021522,0.006298183985184685,17.3068850794304,5256.357520642539,robust_dynamic_fc174a2ee5c0c4778aff,True,c0f973617bcc6a7e,904567fd11d251fb,0,dynamic,0.16222337673835427,1.1566283183565036,43.20161456326038,46.66768958619144,3.073030547877057,9.163962485807177e-07
00d3ccadb9a9f10b,feasible,success,137.6929289847264,141.5,141.5,success,passed,5295.714258167393,33.45185662061228,209.70571579999523,26557,2.6794649385931146e-14,3.96275085834507e-15,,0.568184101422505,0.008034463490261603,17.306635453153262,5259.220094996954,robust_dynamic_13eecd89d0eb436f7f26,True,00d3ccadb9a9f10b,904567fd11d251fb,1,dynamic,0.18828330692704445,1.3432348628148456,37.31152677192934,42.17633626014134,2.879142213000254,1.1298445621363353e-06
b98e164c352802ab,feasible,success,136.83010594598016,140.5,140.5,success,passed,5280.055076486986,33.1516725337186,210.39945899997838,26446,6.888928620925366e-15,2.1228936191030938e-15,,0.5697306406711906,0.009725621931634334,17.297642712436982,5245.137793652504,robust_dynamic_8fc59c9385037a965c5d,True,b98e164c352802ab,904567fd11d251fb,2,dynamic,0.18811273182578145,1.4833968651096772,33.23810339856574,35.95227782311889,2.9127035986124095,9.074603571876463e-07
87d2d1ff7174ba71,feasible,success,137.5805280115226,141.5,141.5,success,passed,5298.0581125847875,33.451938273744524,207.07013880001614,26198,6.378933928057596e-14,1.8398377872026554e-15,,0.5660145249236964,0.010957825470595543,17.30532990774259,5259.040454505671,robust_dynamic_8916eef336c4e09c3060,True,87d2d1ff7174ba71,904567fd11d251fb,3,dynamic,0.17051119312478344,1.606809928670101,31.572092541666564,44.035316623321094,2.92773916395042,8.445888424719696e-07
ddedb68cf59ce013,feasible,success,136.85763103416065,139.5,139.5,success,passed,5271.248810884834,32.85209217673813,205.80858300003456,25899,1.363293710754656e-14,2.971968289486802e-15,,0.5667462298202307,0.011986949404248905,17.303670735447668,5245.551456545965,robust_dynamic_0d658e8c72ddb4b97f6d,True,ddedb68cf59ce013,904567fd11d251fb,4,dynamic,0.17574630302013314,1.6191137453485214,29.668456046111782,37.19239919918308,3.1427445689139137,1.13910158136911e-06
f4eab343b192725b,feasible,success,137.10435752365828,141.5,141.5,success,passed,5290.574984329979,33.451926522306806,203.81328150001355,26064,1.8933618594687268e-14,2.5474389831810232e-15,,0.5661260910672452,0.008401213869040405,17.30592536081349,5248.073696740817,robust_dynamic_c84e91266e0711fbdc66,True,f4eab343b192725b,904567fd11d251fb,5,dynamic,0.18339538350487936,1.207697992452273,33.03095182455715,39.70941264044263,3.020861245458857,1.032225198865742e-06
b34adc7df7eb2fa8,feasible,success,136.37326127229406,139.5,139.5,success,passed,5264.569854823125,32.852045233832364,210.31187500001397,26077,7.800783144637819e-15,1.5567604536415677e-15,,0.5641577179009161,0.012520112733819958,17.312990288533,5234.143648066009,robust_dynamic_027879b31ca388e45eb2,True,b34adc7df7eb2fa8,904567fd11d251fb,6,dynamic,0.16210438472404945,1.6633278552867703,28.485770194308078,36.400048053617795,3.062317277983457,8.220526223057317e-07
