case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,evaluation,best_so_far,protocol_json,E_aux_to_success_J
af50916ddfd88962,feasible,success,260.75745961975457,260.75745961975457,40.0,success,passed,2799.999999999998,69.22724264057096,38.56000850000419,4038,3.0715645948656945e-12,2.4059206720625992e-15,,0.5553451460328219,0.03655021903761795,12.784207254297826,q3_coheat_8d35267743adf43695ea,True,af50916ddfd88962,904567fd11d251fb,21,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.9, 0.4, 0.2, 0.4, 0.9], ""heat_off"": 40, ""load_start"": 0.0, ""times"": null, ""currents"": null}",2799.9999999999977
af50916ddfd88962,feasible,success,153.35604804976117,153.35604804976117,80.0,success,passed,5599.999999999985,37.00681973225646,20.223820700019132,2182,8.470798443809898e-13,7.076237270772351e-16,,0.5506843482785739,0.00643889827405692,21.885713023509595,q3_coheat_9dbc2788d4815231c831,True,af50916ddfd88962,904567fd11d251fb,22,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.9, 0.4, 0.2, 0.4, 0.9], ""heat_off"": 80, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5599.9999999999845
af50916ddfd88962,infeasible,voltage,86.7660881385461,109.04689395151678,,success,voltage,7633.282576606163,23.714073502783314,19.44766189996153,2004,8.470798443809898e-13,5.66098981661788e-16,,0.5654068197433487,0.00643889827405692,22.453509342548784,q3_coheat_e83f6d671c0042e4b85a,True,af50916ddfd88962,904567fd11d251fb,23,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.9, 0.4, 0.2, 0.4, 0.9], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",6073.626169698212
af50916ddfd88962,infeasible,voltage,86.7660881385461,109.04689395151678,,success,voltage,7633.282576606163,23.714073502783314,20.409624100022484,2004,8.470798443809898e-13,5.66098981661788e-16,,0.5654068197433487,0.00643889827405692,22.453509342548784,q3_coheat_c6745bd8580406cfa8e0,True,af50916ddfd88962,904567fd11d251fb,24,2399.999999999265,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.9, 0.4, 0.2, 0.4, 0.9], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",6073.626169698212
af50916ddfd88962,feasible,success,280.8730842242454,280.8730842242454,40.0,success,passed,2300.000000000118,75.26194839420808,57.86268469999777,5628,9.898421370000154e-12,1.4152474541544702e-15,,0.5432155752230359,0.047015986852651084,10.550629722788784,q3_coheat_2fcad85f91c3dd034366,True,af50916ddfd88962,904567fd11d251fb,25,2300.000000000118,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.8, 0.3, 0.1, 0.3, 0.8], ""heat_off"": 40, ""load_start"": 0.0, ""times"": null, ""currents"": null}",2300.000000000118
af50916ddfd88962,feasible,success,191.9774149228892,191.9774149228892,80.0,success,passed,4600.000000000118,48.59324590638671,23.8853444000124,2636,9.898421370000154e-12,7.076237270772351e-16,,0.5610687132035813,0.012309589446816219,17.558881832870043,q3_coheat_ee0ea82037044619add3,True,af50916ddfd88962,904567fd11d251fb,26,2300.000000000118,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.8, 0.3, 0.1, 0.3, 0.8], ""heat_off"": 80, ""load_start"": 0.0, ""times"": null, ""currents"": null}",4600.000000000118
af50916ddfd88962,infeasible,voltage,100.97360208123555,135.52132518102107,,success,voltage,7792.476197908833,31.65641898382654,22.683144000009634,2458,9.898421370000154e-12,8.491484724926821e-16,,0.5735133140209153,0.012309589446816219,19.233430554613335,q3_coheat_2e0116814fd327bb0664,True,af50916ddfd88962,904567fd11d251fb,27,2300.000000000118,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.8, 0.3, 0.1, 0.3, 0.8], ""heat_off"": 160, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5805.982119671163
af50916ddfd88962,infeasible,voltage,100.97360208123555,135.52132518102107,,success,voltage,7792.476197908833,31.65641898382654,23.015884899999946,2458,9.898421370000154e-12,8.491484724926821e-16,,0.5735133140209153,0.012309589446816219,19.233430554613335,q3_coheat_6da6468b727e37f4ab09,True,af50916ddfd88962,904567fd11d251fb,28,2300.000000000118,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [0.8, 0.3, 0.1, 0.3, 0.8], ""heat_off"": 300, ""load_start"": 0.0, ""times"": null, ""currents"": null}",5805.982119671163
af50916ddfd88962,feasible,success,282.47150722173683,282.47150722173683,40.0,success,passed,2200.0000000003943,75.74146384874778,64.98862220003502,6811,1.9572847089068387e-11,1.4152474541544702e-15,,0.5461407954832731,0.04481865829438328,11.469014743083761,q3_coheat_9b74c6315078417fd517,True,af50916ddfd88962,904567fd11d251fb,29,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.15, 0.1, 0.15, 0.8], ""heat_off"": 40, ""load_start"": 0.0, ""times"": null, ""currents"": null}",2200.0000000003943
af50916ddfd88962,feasible,success,191.68282290080737,191.68282290080737,80.0,success,passed,4400.000000000391,48.504854052324355,36.02239650004776,3460,1.9572847089068387e-11,1.5567721995699172e-15,,0.5597212126106738,0.00885334816493849,15.082358010690939,q3_coheat_a8ee6276fbeb9d75cbe3,True,af50916ddfd88962,904567fd11d251fb,30,2200.0000000003943,"{""kind"": ""fixed"", ""params"": [0.1], ""powers"": [1.0, 0.15, 0.1, 0.15, 0.8], ""heat_off"": 80, ""load_start"": 0.0, ""times"": null, ""currents"": null}",4400.000000000391
